component,category,subcategory,changes_baseline_date,change_category,projected_fiscal_year,value
deficit,Total,Total,1984-08-01,Legislative,1984,0.642
deficit,Total,Total,1984-08-01,Legislative,1985,14.065
deficit,Total,Total,1984-08-01,Legislative,1986,22.073
deficit,Total,Total,1984-08-01,Legislative,1987,31.503
deficit,Total,Total,1984-08-01,Legislative,1988,34.79
deficit,Total,Total,1984-08-01,Legislative,1989,38.827
deficit,Total,Total,1985-02-01,Legislative,1985,-16.503
deficit,Total,Total,1985-02-01,Legislative,1986,-3.896
deficit,Total,Total,1985-02-01,Legislative,1987,-3.525
deficit,Total,Total,1985-02-01,Legislative,1988,-1.613
deficit,Total,Total,1985-02-01,Legislative,1989,2.702
deficit,Total,Total,1985-08-01,Legislative,1985,-1.523
deficit,Total,Total,1985-08-01,Legislative,1986,-1.651
deficit,Total,Total,1985-08-01,Legislative,1987,-0.386
deficit,Total,Total,1985-08-01,Legislative,1988,-0.382
deficit,Total,Total,1985-08-01,Legislative,1989,-0.369
deficit,Total,Total,1985-08-01,Legislative,1990,-0.355
deficit,Total,Total,1986-02-01,Legislative,1985,0.0
deficit,Total,Total,1986-02-01,Legislative,1986,16.885
deficit,Total,Total,1986-02-01,Legislative,1987,50.745
deficit,Total,Total,1986-02-01,Legislative,1988,79.065
deficit,Total,Total,1986-02-01,Legislative,1989,112.735
deficit,Total,Total,1986-02-01,Legislative,1990,150.29
deficit,Total,Total,1986-08-01,Legislative,1986,4.927
deficit,Total,Total,1986-08-01,Legislative,1987,12.285
deficit,Total,Total,1986-08-01,Legislative,1988,10.237
deficit,Total,Total,1986-08-01,Legislative,1989,12.543
deficit,Total,Total,1986-08-01,Legislative,1990,15.411
deficit,Total,Total,1986-08-01,Legislative,1991,16.372
deficit,Total,Total,1987-01-01,Legislative,1987,32.436
deficit,Total,Total,1987-01-01,Legislative,1988,9.354
deficit,Total,Total,1987-01-01,Legislative,1989,-0.09
deficit,Total,Total,1987-01-01,Legislative,1990,4.624
deficit,Total,Total,1987-01-01,Legislative,1991,10.132
deficit,Total,Total,1987-08-01,Legislative,1987,-3.154
deficit,Total,Total,1987-08-01,Legislative,1988,-1.923
deficit,Total,Total,1987-08-01,Legislative,1989,-2.153
deficit,Total,Total,1987-08-01,Legislative,1990,-2.227
deficit,Total,Total,1987-08-01,Legislative,1991,-2.437
deficit,Total,Total,1987-08-01,Legislative,1992,-2.217
deficit,Total,Total,1988-02-01,Legislative,1988,36.762
deficit,Total,Total,1988-02-01,Legislative,1989,41.861
deficit,Total,Total,1988-02-01,Legislative,1990,49.554
deficit,Total,Total,1988-02-01,Legislative,1991,54.462
deficit,Total,Total,1988-02-01,Legislative,1992,57.587
deficit,Total,Total,1988-08-01,Legislative,1988,-0.054
deficit,Total,Total,1988-08-01,Legislative,1989,-5.189
deficit,Total,Total,1988-08-01,Legislative,1990,0.874
deficit,Total,Total,1988-08-01,Legislative,1991,0.198
deficit,Total,Total,1988-08-01,Legislative,1992,0.207
deficit,Total,Total,1988-08-01,Legislative,1993,-0.045
deficit,Total,Total,1989-01-01,Legislative,1989,-0.512
deficit,Total,Total,1989-01-01,Legislative,1990,-1.303
deficit,Total,Total,1989-01-01,Legislative,1991,-0.751
deficit,Total,Total,1989-01-01,Legislative,1992,-0.379
deficit,Total,Total,1989-01-01,Legislative,1993,0.975
deficit,Total,Total,1989-01-01,Legislative,1994,5.19
deficit,Total,Total,1989-02-01,Legislative,1989,0.0
deficit,Total,Total,1989-02-01,Legislative,1990,0.0
deficit,Total,Total,1989-02-01,Legislative,1991,0.0
deficit,Total,Total,1989-02-01,Legislative,1992,0.0
deficit,Total,Total,1989-02-01,Legislative,1993,0.0
