outlay_category,outlay_subcategory,baseline_date,baseline_name,APB_flag,projected_fiscal_year,projected_year_number,baseline_projected_outlay
Total,Total,1984-03-01,March 1984 Baseline,True,1984,1,867.600
Total,Total,1984-03-01,March 1984 Baseline,True,1985,2,944.900
Total,Total,1984-03-01,March 1984 Baseline,True,1986,3,1026.000
Total,Total,1984-03-01,March 1984 Baseline,True,1987,4,1124.100
Total,Total,1984-03-01,March 1984 Baseline,True,1988,5,1232.700
Total,Total,1984-03-01,March 1984 Baseline,True,1989,6,1338.700
Total,Total,1985-03-01,March 1985 Baseline,True,1985,1,949.658
Total,Total,1985-03-01,March 1985 Baseline,True,1986,2,1007.952
Total,Total,1985-03-01,March 1985 Baseline,True,1987,3,1095.254
Total,Total,1985-03-01,March 1985 Baseline,True,1988,4,1191.247
Total,Total,1985-03-01,March 1985 Baseline,True,1989,5,1284.085
Total,Total,1985-03-01,March 1985 Baseline,True,1990,6,1389.707
Total,Total,1986-03-01,March 1986 Baseline,True,1986,1,986.697
Total,Total,1986-03-01,March 1986 Baseline,True,1987,2,1026.669
Total,Total,1986-03-01,March 1986 Baseline,True,1988,3,1087.716
Total,Total,1986-03-01,March 1986 Baseline,True,1989,4,1135.215
Total,Total,1986-03-01,March 1986 Baseline,True,1990,5,1188.822
Total,Total,1986-03-01,March 1986 Baseline,True,1991,6,1249.776
Total,Total,1987-03-01,March 1987 Baseline,True,1987,1,1009.838
Total,Total,1987-03-01,March 1987 Baseline,True,1988,2,1071.135
Total,Total,1987-03-01,March 1987 Baseline,True,1989,3,1126.320
Total,Total,1987-03-01,March 1987 Baseline,True,1990,4,1187.758
Total,Total,1987-03-01,March 1987 Baseline,True,1991,5,1248.410
Total,Total,1987-03-01,March 1987 Baseline,True,1992,6,1306.424
Total,Total,1988-03-01,March 1988 Baseline,True,1988,1,1059.306
Total,Total,1988-03-01,March 1988 Baseline,True,1989,2,1131.307
Total,Total,1988-03-01,March 1988 Baseline,True,1990,3,1206.018
Total,Total,1988-03-01,March 1988 Baseline,True,1991,4,1270.865
Total,Total,1988-03-01,March 1988 Baseline,True,1992,5,1334.543
Total,Total,1988-03-01,March 1988 Baseline,True,1993,6,1399.875
Total,Total,1989-03-01,March 1989 Baseline,True,1989,1,1141.818
Total,Total,1989-03-01,March 1989 Baseline,True,1990,2,1214.883
Total,Total,1989-03-01,March 1989 Baseline,True,1991,3,1286.593
Total,Total,1989-03-01,March 1989 Baseline,True,1992,4,1348.214
Total,Total,1989-03-01,March 1989 Baseline,True,1993,5,1415.657
Total,Total,1989-03-01,March 1989 Baseline,True,1994,6,1488.675
Total,Total,1990-03-01,March 1990 Baseline,True,1990,1,1225.871
Total,Total,1990-03-01,March 1990 Baseline,True,1991,2,1298.482
Total,Total,1990-03-01,March 1990 Baseline,True,1992,3,1328.163
Total,Total,1990-03-01,March 1990 Baseline,True,1993,4,1408.825
Total,Total,1990-03-01,March 1990 Baseline,True,1994,5,1476.005
Total,Total,1990-03-01,March 1990 Baseline,True,1995,6,1548.090
Total,Total,1991-03-01,March 1991 Baseline,True,1991,1,1401.585
Total,Total,1991-03-01,March 1991 Baseline,True,1992,2,1463.369
Total,Total,1991-03-01,March 1991 Baseline,True,1993,3,1471.783
Total,Total,1991-03-01,March 1991 Baseline,True,1994,4,1500.662
Total,Total,1991-03-01,March 1991 Baseline,True,1995,5,1484.173
Total,Total,1991-03-01,March 1991 Baseline,True,1996,6,1561.159
Total,Total,1992-01-01,January 1992 Baseline,False,1992,1,1454.280
Total,Total,1992-01-01,January 1992 Baseline,False,1993,2,1505.208
Total,Total,1992-01-01,January 1992 Baseline,False,1994,3,1523.096
Total,Total,1992-01-01,January 1992 Baseline,False,1995,4,1535.693
Total,Total,1992-01-01,January 1992 Baseline,False,1996,5,1593.398
