outlay_category,outlay_subcategory,changes_baseline_date,baseline_name,change_category,projected_fiscal_year,changes_projected_outlay
Total,Total,1984-08-01,August 1984 Baseline,Economic,1984,0.597
Total,Total,1984-08-01,August 1984 Baseline,Economic,1985,6.634
Total,Total,1984-08-01,August 1984 Baseline,Economic,1986,8.284
Total,Total,1984-08-01,August 1984 Baseline,Economic,1987,7.924
Total,Total,1984-08-01,August 1984 Baseline,Economic,1988,12.194
Total,Total,1984-08-01,August 1984 Baseline,Economic,1989,14.658
Total,Total,1984-08-01,August 1984 Baseline,Legislative,1984,0.258
Total,Total,1984-08-01,August 1984 Baseline,Legislative,1985,-3.265
Total,Total,1984-08-01,August 1984 Baseline,Legislative,1986,-5.273
Total,Total,1984-08-01,August 1984 Baseline,Legislative,1987,-8.703
Total,Total,1984-08-01,August 1984 Baseline,Legislative,1988,-9.590
Total,Total,1984-08-01,August 1984 Baseline,Legislative,1989,-11.627
Total,Total,1985-01-01,January 1985 Baseline,Economic,1985,-4.700
Total,Total,1985-01-01,January 1985 Baseline,Economic,1986,-7.900
Total,Total,1985-01-01,January 1985 Baseline,Economic,1987,-9.800
Total,Total,1985-01-01,January 1985 Baseline,Economic,1988,-16.900
Total,Total,1985-01-01,January 1985 Baseline,Economic,1989,-21.800
Total,Total,1985-01-01,January 1985 Baseline,Legislative,1985,16.000
Total,Total,1985-01-01,January 1985 Baseline,Legislative,1986,3.400
Total,Total,1985-01-01,January 1985 Baseline,Legislative,1987,3.000
Total,Total,1985-01-01,January 1985 Baseline,Legislative,1988,1.100
Total,Total,1985-01-01,January 1985 Baseline,Legislative,1989,-3.200
Total,Total,1985-08-01,August 1985 Baseline,Economic,1985,-1.138
Total,Total,1985-08-01,August 1985 Baseline,Economic,1986,-7.973
Total,Total,1985-08-01,August 1985 Baseline,Economic,1987,-11.984
Total,Total,1985-08-01,August 1985 Baseline,Economic,1988,-15.907
Total,Total,1985-08-01,August 1985 Baseline,Economic,1989,-18.900
Total,Total,1985-08-01,August 1985 Baseline,Economic,1990,-22.615
Total,Total,1985-08-01,August 1985 Baseline,Legislative,1985,1.373
Total,Total,1985-08-01,August 1985 Baseline,Legislative,1986,1.656
Total,Total,1985-08-01,August 1985 Baseline,Legislative,1987,0.406
Total,Total,1985-08-01,August 1985 Baseline,Legislative,1988,0.431
Total,Total,1985-08-01,August 1985 Baseline,Legislative,1989,0.434
Total,Total,1985-08-01,August 1985 Baseline,Legislative,1990,0.427
Total,Total,1986-01-01,January 1986 Baseline,Economic,1985,0.000
Total,Total,1986-01-01,January 1986 Baseline,Economic,1986,-1.300
Total,Total,1986-01-01,January 1986 Baseline,Economic,1987,-9.200
Total,Total,1986-01-01,January 1986 Baseline,Economic,1988,-14.600
Total,Total,1986-01-01,January 1986 Baseline,Economic,1989,-22.400
Total,Total,1986-01-01,January 1986 Baseline,Economic,1990,-32.300
Total,Total,1986-01-01,January 1986 Baseline,Legislative,1985,0.000
Total,Total,1986-01-01,January 1986 Baseline,Legislative,1986,-16.100
Total,Total,1986-01-01,January 1986 Baseline,Legislative,1987,-50.700
Total,Total,1986-01-01,January 1986 Baseline,Legislative,1988,-78.800
Total,Total,1986-01-01,January 1986 Baseline,Legislative,1989,-112.300
Total,Total,1986-01-01,January 1986 Baseline,Legislative,1990,-149.600
Total,Total,1986-08-01,August 1986 Baseline,Economic,1986,0.766
Total,Total,1986-08-01,August 1986 Baseline,Economic,1987,-12.192
Total,Total,1986-08-01,August 1986 Baseline,Economic,1988,-19.220
Total,Total,1986-08-01,August 1986 Baseline,Economic,1989,-20.381
Total,Total,1986-08-01,August 1986 Baseline,Economic,1990,-24.230
Total,Total,1986-08-01,August 1986 Baseline,Economic,1991,-29.487
Total,Total,1986-08-01,August 1986 Baseline,Legislative,1986,-4.162
Total,Total,1986-08-01,August 1986 Baseline,Legislative,1987,-9.756
Total,Total,1986-08-01,August 1986 Baseline,Legislative,1988,-7.700
Total,Total,1986-08-01,August 1986 Baseline,Legislative,1989,-9.997
Total,Total,1986-08-01,August 1986 Baseline,Legislative,1990,-12.731
Total,Total,1986-08-01,August 1986 Baseline,Legislative,1991,-13.602
Total,Total,1987-01-01,January 1987 Baseline,Economic,1987,-3.800
Total,Total,1987-01-01,January 1987 Baseline,Economic,1988,-6.800
Total,Total,1987-01-01,January 1987 Baseline,Economic,1989,-6.200
Total,Total,1987-01-01,January 1987 Baseline,Economic,1990,-2.600
Total,Total,1987-01-01,January 1987 Baseline,Economic,1991,3.200
Total,Total,1987-01-01,January 1987 Baseline,Legislative,1987,-15.400
Total,Total,1987-01-01,January 1987 Baseline,Legislative,1988,-3.600
Total,Total,1987-01-01,January 1987 Baseline,Legislative,1989,-2.800
Total,Total,1987-01-01,January 1987 Baseline,Legislative,1990,-0.500
Total,Total,1987-01-01,January 1987 Baseline,Legislative,1991,-1.900
Total,Total,1987-08-01,August 1987 Baseline,Economic,1987,-0.894
Total,Total,1987-08-01,August 1987 Baseline,Economic,1988,11.284
Total,Total,1987-08-01,August 1987 Baseline,Economic,1989,18.695
Total,Total,1987-08-01,August 1987 Baseline,Economic,1990,24.484
Total,Total,1987-08-01,August 1987 Baseline,Economic,1991,31.278
Total,Total,1987-08-01,August 1987 Baseline,Economic,1992,38.323
Total,Total,1987-08-01,August 1987 Baseline,Legislative,1987,3.156
Total,Total,1987-08-01,August 1987 Baseline,Legislative,1988,1.942
Total,Total,1987-08-01,August 1987 Baseline,Legislative,1989,2.175
Total,Total,1987-08-01,August 1987 Baseline,Legislative,1990,2.249
Total,Total,1987-08-01,August 1987 Baseline,Legislative,1991,2.459
Total,Total,1987-08-01,August 1987 Baseline,Legislative,1992,2.239
Total,Total,1988-01-01,January 1988 Baseline,Economic,1988,1.223
Total,Total,1988-01-01,January 1988 Baseline,Economic,1989,8.132
Total,Total,1988-01-01,January 1988 Baseline,Economic,1990,20.409
Total,Total,1988-01-01,January 1988 Baseline,Economic,1991,27.105
Total,Total,1988-01-01,January 1988 Baseline,Economic,1992,31.000
Total,Total,1988-01-01,January 1988 Baseline,Legislative,1988,-26.223
Total,Total,1988-01-01,January 1988 Baseline,Legislative,1989,-25.739
Total,Total,1988-01-01,January 1988 Baseline,Legislative,1990,-31.883
Total,Total,1988-01-01,January 1988 Baseline,Legislative,1991,-37.577
Total,Total,1988-01-01,January 1988 Baseline,Legislative,1992,-44.391
Total,Total,1988-08-01,August 1988 Baseline,Economic,1988,-2.534
Total,Total,1988-08-01,August 1988 Baseline,Economic,1989,-6.474
Total,Total,1988-08-01,August 1988 Baseline,Economic,1990,-10.058
Total,Total,1988-08-01,August 1988 Baseline,Economic,1991,-13.537
Total,Total,1988-08-01,August 1988 Baseline,Economic,1992,-14.675
Total,Total,1988-08-01,August 1988 Baseline,Economic,1993,-14.297
Total,Total,1988-08-01,August 1988 Baseline,Legislative,1988,0.054
Total,Total,1988-08-01,August 1988 Baseline,Legislative,1989,5.498
Total,Total,1988-08-01,August 1988 Baseline,Legislative,1990,3.367
Total,Total,1988-08-01,August 1988 Baseline,Legislative,1991,4.718
Total,Total,1988-08-01,August 1988 Baseline,Legislative,1992,5.451
Total,Total,1988-08-01,August 1988 Baseline,Legislative,1993,6.550
Total,Total,1989-01-01,January 1989 Baseline,Economic,1989,4.607
Total,Total,1989-01-01,January 1989 Baseline,Economic,1990,3.633
Total,Total,1989-01-01,January 1989 Baseline,Economic,1991,5.106
Total,Total,1989-01-01,January 1989 Baseline,Economic,1992,5.908
Total,Total,1989-01-01,January 1989 Baseline,Economic,1993,5.305
Total,Total,1989-01-01,January 1989 Baseline,Economic,1994,3.227
Total,Total,1989-01-01,January 1989 Baseline,Legislative,1989,-0.113
Total,Total,1989-01-01,January 1989 Baseline,Legislative,1990,1.231
Total,Total,1989-01-01,January 1989 Baseline,Legislative,1991,1.096
Total,Total,1989-01-01,January 1989 Baseline,Legislative,1992,0.342
Total,Total,1989-01-01,January 1989 Baseline,Legislative,1993,-1.186
Total,Total,1989-01-01,January 1989 Baseline,Legislative,1994,-5.326
Total,Total,1989-03-01,March 1989 Baseline,Economic,1989,0.000
Total,Total,1989-03-01,March 1989 Baseline,Economic,1990,0.000
Total,Total,1989-03-01,March 1989 Baseline,Economic,1991,0.000
Total,Total,1989-03-01,March 1989 Baseline,Economic,1992,0.000
Total,Total,1989-03-01,March 1989 Baseline,Economic,1993,0.000
Total,Total,1989-03-01,March 1989 Baseline,Economic,1994,0.000
Total,Total,1989-03-01,March 1989 Baseline,Legislative,1989,0.000
Total,Total,1989-03-01,March 1989 Baseline,Legislative,1990,0.000
Total,Total,1989-03-01,March 1989 Baseline,Legislative,1991,0.000
Total,Total,1989-03-01,March 1989 Baseline,Legislative,1992,0.000
Total,Total,1989-03-01,March 1989 Baseline,Legislative,1993,0.000
Total,Total,1989-03-01,March 1989 Baseline,Legislative,1994,0.000
Total,Total,1989-08-01,August 1989 Baseline,Economic,1989,-0.188
Total,Total,1989-08-01,August 1989 Baseline,Economic,1990,-1.594
Total,Total,1989-08-01,August 1989 Baseline,Economic,1991,-3.995
Total,Total,1989-08-01,August 1989 Baseline,Economic,1992,-3.891
Total,Total,1989-08-01,August 1989 Baseline,Economic,1993,-1.822
Total,Total,1989-08-01,August 1989 Baseline,Economic,1994,1.271
Total,Total,1989-08-01,August 1989 Baseline,Legislative,1989,15.019
Total,Total,1989-08-01,August 1989 Baseline,Legislative,1990,6.109
Total,Total,1989-08-01,August 1989 Baseline,Legislative,1991,-0.378
Total,Total,1989-08-01,August 1989 Baseline,Legislative,1992,1.055
Total,Total,1989-08-01,August 1989 Baseline,Legislative,1993,12.637
Total,Total,1989-08-01,August 1989 Baseline,Legislative,1994,2.738
Total,Total,1990-01-01,January 1990 Baseline,Economic,1990,-3.388
Total,Total,1990-01-01,January 1990 Baseline,Economic,1991,-8.145
Total,Total,1990-01-01,January 1990 Baseline,Economic,1992,-10.473
Total,Total,1990-01-01,January 1990 Baseline,Economic,1993,-13.949
Total,Total,1990-01-01,January 1990 Baseline,Economic,1994,-18.780
Total,Total,1990-01-01,January 1990 Baseline,Legislative,1990,-13.334
Total,Total,1990-01-01,January 1990 Baseline,Legislative,1991,-7.219
Total,Total,1990-01-01,January 1990 Baseline,Legislative,1992,-9.655
Total,Total,1990-01-01,January 1990 Baseline,Legislative,1993,-10.120
Total,Total,1990-01-01,January 1990 Baseline,Legislative,1994,-12.529
Total,Total,1990-03-01,March 1990 Baseline,Economic,1990,0.000
Total,Total,1990-03-01,March 1990 Baseline,Economic,1991,0.000
Total,Total,1990-03-01,March 1990 Baseline,Economic,1992,0.000
Total,Total,1990-03-01,March 1990 Baseline,Economic,1993,0.000
Total,Total,1990-03-01,March 1990 Baseline,Economic,1994,0.000
Total,Total,1990-03-01,March 1990 Baseline,Economic,1995,0.000
Total,Total,1990-03-01,March 1990 Baseline,Legislative,1990,0.000
Total,Total,1990-03-01,March 1990 Baseline,Legislative,1991,0.000
Total,Total,1990-03-01,March 1990 Baseline,Legislative,1992,0.000
Total,Total,1990-03-01,March 1990 Baseline,Legislative,1993,0.000
Total,Total,1990-03-01,March 1990 Baseline,Legislative,1994,0.000
Total,Total,1990-03-01,March 1990 Baseline,Legislative,1995,0.000
Total,Total,1990-08-01,August 1990 Baseline,Economic,1990,2.416
Total,Total,1990-08-01,August 1990 Baseline,Economic,1991,5.944
Total,Total,1990-08-01,August 1990 Baseline,Economic,1992,3.777
Total,Total,1990-08-01,August 1990 Baseline,Economic,1993,-0.183
Total,Total,1990-08-01,August 1990 Baseline,Economic,1994,-4.471
Total,Total,1990-08-01,August 1990 Baseline,Economic,1995,-9.704
Total,Total,1990-08-01,August 1990 Baseline,Legislative,1990,0.157
Total,Total,1990-08-01,August 1990 Baseline,Legislative,1991,0.710
Total,Total,1990-08-01,August 1990 Baseline,Legislative,1992,0.454
Total,Total,1990-08-01,August 1990 Baseline,Legislative,1993,0.394
Total,Total,1990-08-01,August 1990 Baseline,Legislative,1994,0.336
Total,Total,1990-08-01,August 1990 Baseline,Legislative,1995,0.447
Total,Total,1991-01-01,Capped January 1991 Baseline,Economic,1991,10.678
Total,Total,1991-01-01,Capped January 1991 Baseline,Economic,1992,16.977
Total,Total,1991-01-01,Capped January 1991 Baseline,Economic,1993,24.349
Total,Total,1991-01-01,Capped January 1991 Baseline,Economic,1994,30.520
Total,Total,1991-01-01,Capped January 1991 Baseline,Economic,1995,35.910
Total,Total,1991-01-01,Capped January 1991 Baseline,Legislative,1991,-15.469
Total,Total,1991-01-01,Capped January 1991 Baseline,Legislative,1992,-33.600
Total,Total,1991-01-01,Capped January 1991 Baseline,Legislative,1993,-54.470
Total,Total,1991-01-01,Capped January 1991 Baseline,Legislative,1994,-92.442
Total,Total,1991-01-01,Capped January 1991 Baseline,Legislative,1995,-120.838
Total,Total,1991-03-01,March 1991 Baseline,Economic,1991,0.000
Total,Total,1991-03-01,March 1991 Baseline,Economic,1992,0.000
Total,Total,1991-03-01,March 1991 Baseline,Economic,1993,0.000
Total,Total,1991-03-01,March 1991 Baseline,Economic,1994,0.000
Total,Total,1991-03-01,March 1991 Baseline,Economic,1995,0.000
Total,Total,1991-03-01,March 1991 Baseline,Economic,1996,0.000
Total,Total,1991-03-01,March 1991 Baseline,Legislative,1991,0.000
Total,Total,1991-03-01,March 1991 Baseline,Legislative,1992,0.000
Total,Total,1991-03-01,March 1991 Baseline,Legislative,1993,0.000
Total,Total,1991-03-01,March 1991 Baseline,Legislative,1994,0.000
Total,Total,1991-03-01,March 1991 Baseline,Legislative,1995,0.000
Total,Total,1991-03-01,March 1991 Baseline,Legislative,1996,0.000
Total,Total,1991-08-01,August 1991 Baseline,Economic,1991,-2.629
Total,Total,1991-08-01,August 1991 Baseline,Economic,1992,-4.955
Total,Total,1991-08-01,August 1991 Baseline,Economic,1993,-0.372
Total,Total,1991-08-01,August 1991 Baseline,Economic,1994,5.080
