component,category,subcategory,baseline_date,Spring_flag,Winter_flag,projected_fiscal_year,projected_year_number,value
revenue,Total,Total,1982-02-01,FALSE,TRUE,1982,1,631
revenue,Total,Total,1982-02-01,FALSE,TRUE,1983,2,652
revenue,Total,Total,1982-02-01,FALSE,TRUE,1984,3,701
revenue,Total,Total,1982-02-01,FALSE,TRUE,1985,4,763
revenue,Total,Total,1982-02-01,FALSE,TRUE,1986,5,818
revenue,Total,Total,1982-02-01,FALSE,TRUE,1987,6,882
revenue,Individual Income Taxes,Individual Income Taxes,1982-02-01,FALSE,TRUE,1982,1,300
revenue,Individual Income Taxes,Individual Income Taxes,1982-02-01,FALSE,TRUE,1983,2,303
revenue,Individual Income Taxes,Individual Income Taxes,1982-02-01,FALSE,TRUE,1984,3,316
revenue,Individual Income Taxes,Individual Income Taxes,1982-02-01,FALSE,TRUE,1985,4,344
revenue,Individual Income Taxes,Individual Income Taxes,1982-02-01,FALSE,TRUE,1986,5,367
revenue,Individual Income Taxes,Individual Income Taxes,1982-02-01,FALSE,TRUE,1987,6,396
revenue,Corporate Income Taxes,Corporate Income Taxes,1982-02-01,FALSE,TRUE,1982,1,50
revenue,Corporate Income Taxes,Corporate Income Taxes,1982-02-01,FALSE,TRUE,1983,2,51
revenue,Corporate Income Taxes,Corporate Income Taxes,1982-02-01,FALSE,TRUE,1984,3,62
revenue,Corporate Income Taxes,Corporate Income Taxes,1982-02-01,FALSE,TRUE,1985,4,63
revenue,Corporate Income Taxes,Corporate Income Taxes,1982-02-01,FALSE,TRUE,1986,5,64
revenue,Corporate Income Taxes,Corporate Income Taxes,1982-02-01,FALSE,TRUE,1987,6,73
revenue,Payroll Taxes,Payroll Taxes,1982-02-01,FALSE,TRUE,1982,1,209
revenue,Payroll Taxes,Payroll Taxes,1982-02-01,FALSE,TRUE,1983,2,227
revenue,Payroll Taxes,Payroll Taxes,1982-02-01,FALSE,TRUE,1984,3,250
revenue,Payroll Taxes,Payroll Taxes,1982-02-01,FALSE,TRUE,1985,4,282
revenue,Payroll Taxes,Payroll Taxes,1982-02-01,FALSE,TRUE,1986,5,313
revenue,Payroll Taxes,Payroll Taxes,1982-02-01,FALSE,TRUE,1987,6,339
revenue,Excise Taxes,Excise Taxes,1982-02-01,FALSE,TRUE,1982,1,41
revenue,Excise Taxes,Excise Taxes,1982-02-01,FALSE,TRUE,1983,2,40
revenue,Excise Taxes,Excise Taxes,1982-02-01,FALSE,TRUE,1984,3,40
revenue,Excise Taxes,Excise Taxes,1982-02-01,FALSE,TRUE,1985,4,40
revenue,Excise Taxes,Excise Taxes,1982-02-01,FALSE,TRUE,1986,5,40
revenue,Excise Taxes,Excise Taxes,1982-02-01,FALSE,TRUE,1987,6,39
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1982-02-01,FALSE,TRUE,1982,1,6.8
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1982-02-01,FALSE,TRUE,1983,2,6.4
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1982-02-01,FALSE,TRUE,1984,3,5.9
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1982-02-01,FALSE,TRUE,1985,4,5.4
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1982-02-01,FALSE,TRUE,1986,5,4.9
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1982-02-01,FALSE,TRUE,1987,6,4.4
revenue,Customs Duties,Customs Duties,1982-02-01,FALSE,TRUE,1982,1,8.8
revenue,Customs Duties,Customs Duties,1982-02-01,FALSE,TRUE,1983,2,9.1
revenue,Customs Duties,Customs Duties,1982-02-01,FALSE,TRUE,1984,3,9.4
revenue,Customs Duties,Customs Duties,1982-02-01,FALSE,TRUE,1985,4,9.7
revenue,Customs Duties,Customs Duties,1982-02-01,FALSE,TRUE,1986,5,10
revenue,Customs Duties,Customs Duties,1982-02-01,FALSE,TRUE,1987,6,10.3
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1982-02-01,FALSE,TRUE,1982,1,15
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1982-02-01,FALSE,TRUE,1983,2,16
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1982-02-01,FALSE,TRUE,1984,3,18
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1982-02-01,FALSE,TRUE,1985,4,19
