component,category,subcategory,projected_year_number,projection_year_range,number_of_projections,average_error,average_absolute_error,RMSE,two_thirds_spread
deficit,Total,Total,1,1984-2025,42,0.2,0.5,0.7,1.0
deficit,Total,Total,2,1985-2025,41,0.2,1.1,1.5,2.2
deficit,Total,Total,3,1986-2025,40,0.2,1.5,1.9,3.8
deficit,Total,Total,4,1987-2025,39,0.1,1.8,2.1,4.5
deficit,Total,Total,5,1988-2025,38,0.1,1.9,2.3,4.3
deficit,Total,Total,6,1989-2025,37,0.2,2.0,2.5,4.6
deficit,Total,Total,7,2002-2025,24,0.7,1.5,1.9,3.9
deficit,Total,Total,8,2003-2025,23,0.8,1.8,2.2,3.9
deficit,Total,Total,9,2004-2025,22,0.9,2.1,2.6,4.9
deficit,Total,Total,10,2005-2025,21,1.0,2.2,2.8,5.8
deficit,Total,Total,11,2006-2025,20,1.1,2.3,3.1,5.5
