component,category,subcategory,fiscal_year,actual_value,GDP,actuals_pct_GDP
outlay,Discretionary,Defense Discretionary,1998,270.2,8930.8,3.0
outlay,Discretionary,Defense Discretionary,1999,275.5,9479.6,2.9
outlay,Discretionary,Defense Discretionary,2000,295.0,10117.1,2.9
outlay,Discretionary,Defense Discretionary,2001,306.1,10525.7,2.9
outlay,Discretionary,Defense Discretionary,2002,349.0,10828.9,3.2
outlay,Discretionary,Defense Discretionary,2003,404.9,11278.8,3.6
outlay,Discretionary,Defense Discretionary,2004,454.1,12028.4,3.8
outlay,Discretionary,Defense Discretionary,2005,493.6,12840.0,3.8
outlay,Discretionary,Defense Discretionary,2006,520.0,13636.8,3.8
outlay,Discretionary,Defense Discretionary,2007,547.9,14305.4,3.8
outlay,Discretionary,Defense Discretionary,2008,612.4,14796.6,4.1
outlay,Discretionary,Defense Discretionary,2009,656.7,14467.3,4.5
outlay,Discretionary,Defense Discretionary,2010,688.9,14884.4,4.6
outlay,Discretionary,Defense Discretionary,2011,699.4,15466.5,4.5
outlay,Discretionary,Defense Discretionary,2012,670.5,16109.4,4.2
outlay,Discretionary,Defense Discretionary,2013,625.8,16687.8,3.7
outlay,Discretionary,Defense Discretionary,2014,596.4,17428.1,3.4
outlay,Discretionary,Defense Discretionary,2015,583.4,18164.2,3.2
outlay,Discretionary,Defense Discretionary,2016,584.8,18641.3,3.1
outlay,Discretionary,Defense Discretionary,2017,590.2,19375.2,3.0
outlay,Discretionary,Defense Discretionary,2018,622.7,20436.3,3.0
outlay,Discretionary,Defense Discretionary,2019,676.4,21286.2,3.2
outlay,Discretionary,Defense Discretionary,2020,713.8,21320.2,3.3
outlay,Discretionary,Defense Discretionary,2021,741.6,23004.1,3.2
outlay,Discretionary,Defense Discretionary,2022,752.1,25517.6,2.9
outlay,Discretionary,Defense Discretionary,2023,806.2,27330.0,2.9
outlay,Discretionary,Defense Discretionary,2024,850.0,28828.2,2.9
outlay,Discretionary,Nondefense Discretionary,1998,281.7,8930.8,3.2
outlay,Discretionary,Nondefense Discretionary,1999,296.6,9479.6,3.1
outlay,Discretionary,Nondefense Discretionary,2000,319.7,10117.1,3.2
outlay,Discretionary,Nondefense Discretionary,2001,343.0,10525.7,3.3
outlay,Discretionary,Nondefense Discretionary,2002,385.0,10828.9,3.6
outlay,Discretionary,Nondefense Discretionary,2003,419.4,11278.8,3.7
outlay,Discretionary,Nondefense Discretionary,2004,441.0,12028.4,3.7
outlay,Discretionary,Nondefense Discretionary,2005,474.9,12840.0,3.7
outlay,Discretionary,Nondefense Discretionary,2006,496.7,13636.8,3.6
outlay,Discretionary,Nondefense Discretionary,2007,493.7,14305.4,3.5
outlay,Discretionary,Nondefense Discretionary,2008,522.5,14796.6,3.5
outlay,Discretionary,Nondefense Discretionary,2009,580.8,14467.3,4.0
outlay,Discretionary,Nondefense Discretionary,2010,658.3,14884.4,4.4
outlay,Discretionary,Nondefense Discretionary,2011,647.7,15466.5,4.2
outlay,Discretionary,Nondefense Discretionary,2012,605.2,16109.4,3.8
outlay,Discretionary,Nondefense Discretionary,2013,576.6,16687.8,3.5
outlay,Discretionary,Nondefense Discretionary,2014,582.4,17428.1,3.3
outlay,Discretionary,Nondefense Discretionary,2015,588.8,18164.2,3.2
outlay,Discretionary,Nondefense Discretionary,2016,600.4,18641.3,3.2
outlay,Discretionary,Nondefense Discretionary,2017,610.1,19375.2,3.1
outlay,Discretionary,Nondefense Discretionary,2018,638.8,20436.3,3.1
outlay,Discretionary,Nondefense Discretionary,2019,661.6,21286.2,3.1
outlay,Discretionary,Nondefense Discretionary,2020,914.1,21320.2,4.3
outlay,Discretionary,Nondefense Discretionary,2021,894.8,23004.1,3.9
outlay,Discretionary,Nondefense Discretionary,2022,912.4,25517.6,3.6
outlay,Discretionary,Nondefense Discretionary,2023,911.9,27330.0,3.3
outlay,Discretionary,Nondefense Discretionary,2024,959.8,28828.2,3.3
outlay,Discretionary,Total Discretionary,1992,533.8,6416.2,8.3
outlay,Discretionary,Total Discretionary,1993,539.8,6775.3,8.0
outlay,Discretionary,Total Discretionary,1994,541.3,7176.9,7.5
outlay,Discretionary,Total Discretionary,1995,544.8,7560.4,7.2
outlay,Discretionary,Total Discretionary,1996,532.7,7951.3,6.7
outlay,Discretionary,Total Discretionary,1997,547.0,8451.0,6.5
outlay,Discretionary,Total Discretionary,1998,552.0,8930.8,6.2
outlay,Discretionary,Total Discretionary,1999,572.1,9479.6,6.0
outlay,Discretionary,Total Discretionary,2000,614.6,10117.1,6.1
outlay,Discretionary,Total Discretionary,2001,649.0,10525.7,6.2
outlay,Discretionary,Total Discretionary,2002,734.0,10828.9,6.8
outlay,Discretionary,Total Discretionary,2003,824.3,11278.8,7.3
outlay,Discretionary,Total Discretionary,2004,895.1,12028.4,7.4
outlay,Discretionary,Total Discretionary,2005,968.5,12840.0,7.5
outlay,Discretionary,Total Discretionary,2006,1016.6,13636.8,7.5
outlay,Discretionary,Total Discretionary,2007,1041.6,14305.4,7.3
outlay,Discretionary,Total Discretionary,2008,1134.9,14796.6,7.7
outlay,Discretionary,Total Discretionary,2009,1237.5,14467.3,8.6
outlay,Discretionary,Total Discretionary,2010,1347.2,14884.4,9.1
outlay,Discretionary,Total Discretionary,2011,1347.1,15466.5,8.7
outlay,Discretionary,Total Discretionary,2012,1275.7,16109.4,7.9
outlay,Discretionary,Total Discretionary,2013,1202.4,16687.8,7.2
outlay,Discretionary,Total Discretionary,2014,1178.9,17428.1,6.8
outlay,Discretionary,Total Discretionary,2015,1172.1,18164.2,6.5
outlay,Discretionary,Total Discretionary,2016,1185.3,18641.3,6.4
outlay,Discretionary,Total Discretionary,2017,1200.3,19375.2,6.2
outlay,Discretionary,Total Discretionary,2018,1261.5,20436.3,6.2
outlay,Discretionary,Total Discretionary,2019,1338.0,21286.2,6.3
outlay,Discretionary,Total Discretionary,2020,1627.9,21320.2,7.6
outlay,Discretionary,Total Discretionary,2021,1636.4,23004.1,7.1
outlay,Discretionary,Total Discretionary,2022,1664.5,25517.6,6.5
outlay,Discretionary,Total Discretionary,2023,1718.1,27330.0,6.3
outlay,Discretionary,Total Discretionary,2024,1809.8,28828.2,6.3
outlay,Mandatory,Medicaid,1992,67.8,6416.2,1.1
outlay,Mandatory,Medicaid,1993,75.8,6775.3,1.1
outlay,Mandatory,Medicaid,1994,82.0,7176.9,1.1
outlay,Mandatory,Medicaid,1995,89.1,7560.4,1.2
outlay,Mandatory,Medicaid,1996,92.0,7951.3,1.2
outlay,Mandatory,Medicaid,1997,95.6,8451.0,1.1
outlay,Mandatory,Medicaid,1998,101.2,8930.8,1.1
outlay,Mandatory,Medicaid,1999,108.0,9479.6,1.1
outlay,Mandatory,Medicaid,2000,117.9,10117.1,1.2
outlay,Mandatory,Medicaid,2001,129.4,10525.7,1.2
outlay,Mandatory,Medicaid,2002,147.5,10828.9,1.4
outlay,Mandatory,Medicaid,2003,160.7,11278.8,1.4
outlay,Mandatory,Medicaid,2004,176.2,12028.4,1.5
outlay,Mandatory,Medicaid,2005,181.7,12840.0,1.4
outlay,Mandatory,Medicaid,2006,180.6,13636.8,1.3
outlay,Mandatory,Medicaid,2007,190.6,14305.4,1.3
outlay,Mandatory,Medicaid,2008,201.4,14796.6,1.4
outlay,Mandatory,Medicaid,2009,250.9,14467.3,1.7
outlay,Mandatory,Medicaid,2010,272.8,14884.4,1.8
outlay,Mandatory,Medicaid,2011,275.0,15466.5,1.8
outlay,Mandatory,Medicaid,2012,250.5,16109.4,1.6
outlay,Mandatory,Medicaid,2013,265.4,16687.8,1.6
outlay,Mandatory,Medicaid,2014,301.5,17428.1,1.7
outlay,Mandatory,Medicaid,2015,349.8,18164.2,1.9
outlay,Mandatory,Medicaid,2016,368.3,18641.3,2.0
outlay,Mandatory,Medicaid,2017,374.7,19375.2,1.9
outlay,Mandatory,Medicaid,2018,389.2,20436.3,1.9
outlay,Mandatory,Medicaid,2019,409.4,21286.2,1.9
outlay,Mandatory,Medicaid,2020,458.5,21320.2,2.2
outlay,Mandatory,Medicaid,2021,520.6,23004.1,2.3
outlay,Mandatory,Medicaid,2022,591.9,25517.6,2.3
outlay,Mandatory,Medicaid,2023,615.8,27330.0,2.3
outlay,Mandatory,Medicaid,2024,617.5,28828.2,2.1
outlay,Mandatory,Medicare,1992,116.2,6416.2,1.8
outlay,Mandatory,Medicare,1993,127.9,6775.3,1.9
outlay,Mandatory,Medicare,1994,141.8,7176.9,2.0
outlay,Mandatory,Medicare,1995,156.9,7560.4,2.1
outlay,Mandatory,Medicare,1996,171.3,7951.3,2.2
outlay,Mandatory,Medicare,1997,187.4,8451.0,2.2
outlay,Mandatory,Medicare,1998,190.2,8930.8,2.1
outlay,Mandatory,Medicare,1999,187.7,9479.6,2.0
outlay,Mandatory,Medicare,2000,194.1,10117.1,1.9
outlay,Mandatory,Medicare,2001,214.1,10525.7,2.0
outlay,Mandatory,Medicare,2002,227.7,10828.9,2.1
outlay,Mandatory,Medicare,2003,245.7,11278.8,2.2
outlay,Mandatory,Medicare,2004,264.9,12028.4,2.2
outlay,Mandatory,Medicare,2005,294.3,12840.0,2.3
outlay,Mandatory,Medicare,2006,324.9,13636.8,2.4
outlay,Mandatory,Medicare,2007,370.8,14305.4,2.6
outlay,Mandatory,Medicare,2008,385.8,14796.6,2.6
outlay,Mandatory,Medicare,2009,425.1,14467.3,2.9
outlay,Mandatory,Medicare,2010,446.5,14884.4,3.0
outlay,Mandatory,Medicare,2011,479.9,15466.5,3.1
outlay,Mandatory,Medicare,2012,466.0,16109.4,2.9
outlay,Mandatory,Medicare,2013,491.8,16687.8,2.9
outlay,Mandatory,Medicare,2014,505.3,17428.1,2.9
outlay,Mandatory,Medicare,2015,539.9,18164.2,3.0
outlay,Mandatory,Medicare,2016,588.4,18641.3,3.2
outlay,Mandatory,Medicare,2017,591.4,19375.2,3.1
outlay,Mandatory,Medicare,2018,581.8,20436.3,2.8
outlay,Mandatory,Medicare,2019,643.9,21286.2,3.0
outlay,Mandatory,Medicare,2020,768.9,21320.2,3.6
outlay,Mandatory,Medicare,2021,688.8,23004.1,3.0
outlay,Mandatory,Medicare,2022,747.2,25517.6,2.9
outlay,Mandatory,Medicare,2023,839.1,27330.0,3.1
outlay,Mandatory,Medicare,2024,865.3,28828.2,3.0
outlay,Mandatory,Other Mandatory,1992,179.2,6416.2,2.8
outlay,Mandatory,Other Mandatory,1993,165.3,6775.3,2.4
outlay,Mandatory,Other Mandatory,1994,176.7,7176.9,2.5
