component,category,subcategory,baseline_date,Spring_flag,Winter_flag,projected_fiscal_year,projected_year_number,value,actual_value,GDP,legislative_outlay_change,adjusted_projection,projection_error,projection_error_pct_actual
outlay,Total,Total,1984-02-01,True,False,1984,1,867.600,851.806,3949.175,0.258,867.858,16.052,1.884
outlay,Total,Total,1985-02-01,True,False,1985,1,949.658,946.344,4265.125,1.373,951.031,4.687,0.495
outlay,Total,Total,1986-02-01,True,False,1986,1,986.697,990.382,4526.250,-4.162,982.535,-7.847,-0.792
outlay,Total,Total,1987-02-01,True,False,1987,1,1009.838,1004.017,4767.650,3.156,1012.994,8.977,0.894
outlay,Total,Total,1988-03-01,True,False,1988,1,1059.306,1064.415,5138.550,0.054,1059.360,-5.055,-0.475
outlay,Total,Total,1989-02-01,True,False,1989,1,1141.818,1143.743,5554.675,15.019,1156.837,13.094,1.145
outlay,Total,Total,1990-03-01,True,False,1990,1,1225.871,1252.993,5898.750,0.157,1226.028,-26.965,-2.152
outlay,Total,Total,1991-03-01,True,False,1991,1,1401.585,1324.226,6093.175,3.491,1405.076,80.850,6.105
outlay,Total,Total,1992-03-01,True,False,1992,1,1455.399,1381.529,6416.250,-0.822,1454.577,73.048,5.287
outlay,Total,Total,1993-03-01,True,False,1993,1,1443.462,1409.386,6775.325,3.644,1447.106,37.720,2.676
outlay,Total,Total,1994-04-01,True,False,1994,1,1478.283,1461.752,7176.850,0.261,1478.544,16.792,1.149
outlay,Total,Total,1995-04-01,True,False,1995,1,1529.861,1515.742,7560.425,-0.051,1529.810,14.068,0.928
outlay,Total,Total,1996-05-01,True,False,1996,1,1572.249,1560.484,7951.325,1.049,1573.298,12.814,0.821
outlay,Total,Total,1997-03-01,True,False,1997,1,1621.973,1601.116,8451.025,0.878,1622.851,21.735,1.357
outlay,Total,Total,1998-03-01,True,False,1998,1,1672.009,1652.458,8930.800,1.074,1673.083,20.625,1.248
outlay,Total,Total,1999-04-01,True,False,1999,1,1704.055,1701.842,9479.625,3.712,1707.767,5.925,0.348
outlay,Total,Total,2000-04-01,True,False,2000,1,1765.734,1788.950,10117.075,23.140,1788.874,-0.076,-0.004
outlay,Total,Total,2001-05-01,True,False,2001,1,1839.301,1862.846,10525.725,13.484,1852.785,-10.061,-0.540
outlay,Total,Total,2002-03-01,True,False,2002,1,2000.727,2010.894,10828.875,16.004,2016.731,5.837,0.290
outlay,Total,Total,2003-03-01,True,False,2003,1,2137.321,2159.899,11278.750,45.716,2183.037,23.138,1.071
outlay,Total,Total,2004-03-01,True,False,2004,1,2294.798,2292.841,12028.425,0.594,2295.392,2.551,0.111
outlay,Total,Total,2005-03-01,True,False,2005,1,2422.070,2471.957,12839.950,34.962,2457.032,-14.925,-0.604
outlay,Total,Total,2006-03-01,True,False,2006,1,2648.412,2655.050,13636.750,26.009,2674.421,19.371,0.730
outlay,Total,Total,2007-03-01,True,False,2007,1,2719.148,2728.686,14305.375,28.521,2747.669,18.983,0.696
outlay,Total,Total,2008-03-01,True,False,2008,1,2903.084,2982.544,14796.575,38.860,2941.944,-40.600,-1.361
outlay,Total,Total,2009-03-01,True,False,2009,1,3562.335,3426.413,14467.300,31.381,3593.716,167.303,4.883
outlay,Total,Total,2010-03-01,True,False,2010,1,3524.403,3416.621,14884.400,20.903,3545.306,128.685,3.766
outlay,Total,Total,2011-03-01,True,False,2011,1,3618.389,3597.887,15466.525,2.830,3621.219,23.332,0.648
outlay,Total,Total,2012-03-01,True,False,2012,1,3617.463,3526.458,16109.425,2.445,3619.908,93.450,2.650
outlay,Total,Total,2013-05-01,True,False,2013,1,3567.344,3551.554,16687.775,8.080,3575.424,23.870,0.672
outlay,Total,Total,2014-04-01,True,False,2014,1,3606.171,3580.677,17428.100,0.729,3606.900,26.223,0.732
outlay,Total,Total,2015-03-01,True,False,2015,1,3702.826,3714.583,18164.250,8.498,3711.324,-3.259,-0.088
outlay,Total,Total,2016-03-01,True,False,2016,1,3915.774,3866.934,18641.325,0.000,3915.774,48.840,1.263
outlay,Total,Total,2017-06-01,True,False,2017,1,4036.606,4010.207,19375.175,-0.200,4036.406,26.199,0.653
outlay,Total,Total,2018-05-01,True,False,2018,1,4136.955,4118.540,20436.325,0.000,4136.955,18.415,0.447
outlay,Total,Total,2019-05-01,True,False,2019,1,4431.362,4466.142,21275.275,7.939,4439.301,-26.841,-0.601
outlay,Total,Total,2020-03-01,True,False,2020,1,4709.799,6557.859,21292.400,1778.769,6488.568,-69.291,-1.057
outlay,Total,Total,2021-07-01,True,False,2021,1,6849.791,6827.400,22936.525,0.000,6849.791,22.391,0.328
outlay,Total,Total,2022-05-01,True,False,2022,1,5877.542,5900.499,25305.650,1.558,5879.100,-21.399,-0.363
outlay,Total,Total,1984-02-01,True,False,1985,2,944.900,946.344,4265.125,14.108,959.008,12.664,1.338
outlay,Total,Total,1985-02-01,True,False,1986,2,1007.952,990.382,4526.250,-18.606,989.346,-1.036,-0.105
outlay,Total,Total,1986-02-01,True,False,1987,2,1026.669,1004.017,4767.650,-22.000,1004.669,0.652,0.065
outlay,Total,Total,1987-02-01,True,False,1988,2,1071.135,1064.415,5138.550,-24.227,1046.908,-17.507,-1.645
outlay,Total,Total,1988-03-01,True,False,1989,2,1131.307,1143.743,5554.675,20.404,1151.711,7.968,0.697
outlay,Total,Total,1989-02-01,True,False,1990,2,1214.883,1252.993,5898.750,-7.068,1207.815,-45.178,-3.606
outlay,Total,Total,1990-03-01,True,False,1991,2,1298.482,1324.226,6093.175,-11.268,1287.214,-37.012,-2.795
outlay,Total,Total,1991-03-01,True,False,1992,2,1463.369,1381.529,6416.250,28.826,1492.195,110.666,8.010
outlay,Total,Total,1992-03-01,True,False,1993,2,1509.605,1409.386,6775.325,8.457,1518.062,108.676,7.711
outlay,Total,Total,1993-03-01,True,False,1994,2,1501.102,1461.752,7176.850,5.931,1507.033,45.281,3.098
outlay,Total,Total,1994-04-01,True,False,1995,2,1517.706,1515.742,7560.425,2.794,1520.500,4.758,0.314
outlay,Total,Total,1995-04-01,True,False,1996,2,1627.991,1560.484,7951.325,-16.335,1611.656,51.172,3.279
outlay,Total,Total,1996-05-01,True,False,1997,2,1654.001,1601.116,8451.025,-12.557,1641.444,40.328,2.519
outlay,Total,Total,1997-03-01,True,False,1998,2,1688.596,1652.458,8930.800,12.042,1700.638,48.180,2.916
outlay,Total,Total,1998-03-01,True,False,1999,2,1729.862,1701.842,9479.625,23.524,1753.386,51.544,3.029
outlay,Total,Total,1999-04-01,True,False,2000,2,1737.027,1788.950,10117.075,63.795,1800.822,11.872,0.664
outlay,Total,Total,2000-04-01,True,False,2001,2,1777.251,1862.846,10525.725,94.201,1871.452,8.606,0.462
outlay,Total,Total,2001-05-01,True,False,2002,2,1921.837,2010.894,10828.875,75.368,1997.205,-13.689,-0.681
outlay,Total,Total,2002-03-01,True,False,2003,2,2079.591,2159.899,11278.750,112.990,2192.581,32.682,1.513
outlay,Total,Total,2003-03-01,True,False,2004,2,2224.050,2292.841,12028.425,97.330,2321.380,28.539,1.245
outlay,Total,Total,2004-03-01,True,False,2005,2,2412.841,2471.957,12839.950,37.728,2450.569,-21.388,-0.865
outlay,Total,Total,2005-03-01,True,False,2006,2,2510.655,2655.050,13636.750,135.011,2645.666,-9.384,-0.353
outlay,Total,Total,2006-03-01,True,False,2007,2,2726.184,2728.686,14305.375,83.103,2809.287,80.601,2.954
outlay,Total,Total,2007-03-01,True,False,2008,2,2833.139,2982.544,14796.575,150.692,2983.831,1.287,0.043
outlay,Total,Total,2008-03-01,True,False,2009,2,2999.739,3426.413,14467.300,465.454,3465.193,38.780,1.132
outlay,Total,Total,2009-03-01,True,False,2010,2,3447.041,3416.621,14884.400,147.106,3594.147,177.526,5.196
outlay,Total,Total,2010-03-01,True,False,2011,2,3655.303,3597.887,15466.525,135.425,3790.728,192.841,5.360
outlay,Total,Total,2011-03-01,True,False,2012,2,3631.452,3526.458,16109.425,29.703,3661.155,134.697,3.820
outlay,Total,Total,2012-03-01,True,False,2013,2,3573.376,3551.554,16687.775,61.119,3634.495,82.941,2.335
outlay,Total,Total,2013-05-01,True,False,2014,2,3595.225,3580.677,17428.100,53.064,3648.289,67.612,1.888
outlay,Total,Total,2014-04-01,True,False,2015,2,3769.249,3714.583,18164.250,16.640,3785.889,71.306,1.920
outlay,Total,Total,2015-03-01,True,False,2016,2,3922.303,3866.934,18641.325,49.039,3971.342,104.408,2.700
outlay,Total,Total,2016-03-01,True,False,2017,2,4055.138,4010.207,19375.175,18.769,4073.907,63.700,1.588
outlay,Total,Total,2017-06-01,True,False,2018,2,4092.543,4118.540,20436.325,107.752,4200.295,81.755,1.985
outlay,Total,Total,2018-05-01,True,False,2019,2,4460.701,4466.142,21275.275,0.071,4460.772,-5.370,-0.120
outlay,Total,Total,2019-05-01,True,False,2020,2,4571.052,6557.859,21292.400,1904.531,6475.583,-82.276,-1.255
outlay,Total,Total,2020-03-01,True,False,2021,2,4815.893,6827.400,22936.525,2201.714,7017.607,190.207,2.786
outlay,Total,Total,2021-07-01,True,False,2022,2,5538.223,5900.499,25305.650,56.957,5595.180,-305.319,-5.174
outlay,Total,Total,1984-02-01,True,False,1986,3,1026.000,990.382,4526.250,-20.479,1005.521,15.139,1.529
outlay,Total,Total,1985-02-01,True,False,1987,3,1095.254,1004.017,4767.650,-72.294,1022.960,18.943,1.887
outlay,Total,Total,1986-02-01,True,False,1988,3,1087.716,1064.415,5138.550,-35.527,1052.189,-12.226,-1.149
outlay,Total,Total,1987-02-01,True,False,1989,3,1126.320,1143.743,5554.675,-3.160,1123.160,-20.583,-1.800
outlay,Total,Total,1988-03-01,True,False,1990,3,1206.018,1252.993,5898.750,-2.470,1203.548,-49.445,-3.946
outlay,Total,Total,1989-02-01,True,False,1991,3,1286.593,1324.226,6093.175,-18.865,1267.728,-56.498,-4.266
outlay,Total,Total,1990-03-01,True,False,1992,3,1328.163,1381.529,6416.250,-4.320,1323.843,-57.686,-4.176
outlay,Total,Total,1991-03-01,True,False,1993,3,1471.783,1409.386,6775.325,14.746,1486.529,77.143,5.474
outlay,Total,Total,1992-03-01,True,False,1994,3,1528.804,1461.752,7176.850,8.357,1537.161,75.409,5.159
outlay,Total,Total,1993-03-01,True,False,1995,3,1574.126,1515.742,7560.425,-2.401,1571.725,55.983,3.693
outlay,Total,Total,1994-04-01,True,False,1996,3,1590.605,1560.484,7951.325,-15.373,1575.232,14.748,0.945
outlay,Total,Total,1995-04-01,True,False,1997,3,1705.560,1601.116,8451.025,-19.432,1686.128,85.012,5.310
outlay,Total,Total,1996-05-01,True,False,1998,3,1737.368,1652.458,8930.800,3.704,1741.072,88.614,5.363
outlay,Total,Total,1997-03-01,True,False,1999,3,1781.902,1701.842,9479.625,13.693,1795.595,93.753,5.509
outlay,Total,Total,1998-03-01,True,False,2000,3,1782.299,1788.950,10117.075,76.016,1858.315,69.365,3.877
outlay,Total,Total,1999-04-01,True,False,2001,3,1774.699,1862.846,10525.725,108.529,1883.228,20.382,1.094
outlay,Total,Total,2000-04-01,True,False,2002,3,1799.254,2010.894,10828.875,214.727,2013.981,3.087,0.154
outlay,Total,Total,2001-05-01,True,False,2003,3,1984.584,2159.899,11278.750,184.950,2169.534,9.635,0.446
outlay,Total,Total,2002-03-01,True,False,2004,3,2148.033,2292.841,12028.425,170.928,2318.961,26.120,1.139
outlay,Total,Total,2003-03-01,True,False,2005,3,2327.637,2471.957,12839.950,155.442,2483.079,11.122,0.450
outlay,Total,Total,2004-03-01,True,False,2006,3,2527.890,2655.050,13636.750,99.629,2627.519,-27.531,-1.037
outlay,Total,Total,2005-03-01,True,False,2007,3,2625.261,2728.686,14305.375,172.087,2797.348,68.662,2.516
outlay,Total,Total,2006-03-01,True,False,2008,3,2848.562,2982.544,14796.575,188.360,3036.922,54.378,1.823
outlay,Total,Total,2007-03-01,True,False,2009,3,2943.559,3426.413,14467.300,556.071,3499.630,73.217,2.137
outlay,Total,Total,2008-03-01,True,False,2010,3,3129.518,3416.621,14884.400,470.416,3599.934,183.313,5.365
outlay,Total,Total,2009-03-01,True,False,2011,3,3454.971,3597.887,15466.525,242.437,3697.408,99.521,2.766
outlay,Total,Total,2010-03-01,True,False,2012,3,3598.183,3526.458,16109.425,125.431,3723.614,197.156,5.591
outlay,Total,Total,2011-03-01,True,False,2013,3,3773.732,3551.554,16687.775,-45.182,3728.550,176.996,4.984
outlay,Total,Total,2012-03-01,True,False,2014,3,3662.454,3580.677,17428.100,97.381,3759.835,179.158,5.003
outlay,Total,Total,2013-05-01,True,False,2015,3,3771.531,3714.583,18164.250,41.700,3813.231,98.648,2.656
outlay,Total,Total,2014-04-01,True,False,2016,3,4007.379,3866.934,18641.325,43.261,4050.640,183.706,4.751
outlay,Total,Total,2015-03-01,True,False,2017,3,4052.834,4010.207,19375.175,72.730,4125.564,115.357,2.877
outlay,Total,Total,2016-03-01,True,False,2018,3,4192.004,4118.540,20436.325,134.590,4326.594,208.054,5.052
outlay,Total,Total,2017-06-01,True,False,2019,3,4374.487,4466.142,21275.275,174.147,4548.634,82.492,1.847
outlay,Total,Total,2018-05-01,True,False,2020,3,4681.367,6557.859,21292.400,1873.039,6554.406,-3.453,-0.053
outlay,Total,Total,2019-05-01,True,False,2021,3,4793.904,6827.400,22936.525,2366.142,7160.046,332.646,4.872
outlay,Total,Total,2020-03-01,True,False,2022,3,5114.612,5900.499,25305.650,646.771,5761.383,-139.116,-2.358
outlay,Total,Total,1984-02-01,True,False,1987,4,1124.100,1004.017,4767.650,-77.997,1046.103,42.086,4.192
outlay,Total,Total,1985-02-01,True,False,1988,4,1191.247,1064.415,5138.550,-113.896,1077.351,12.936,1.215
outlay,Total,Total,1986-02-01,True,False,1989,4,1135.215,1143.743,5554.675,-15.957,1119.258,-24.485,-2.141
outlay,Total,Total,1987-02-01,True,False,1990,4,1187.758,1252.993,5898.750,-32.104,1155.654,-97.339,-7.769
outlay,Total,Total,1988-03-01,True,False,1991,4,1270.865,1324.226,6093.175,-13.051,1257.814,-66.412,-5.015
outlay,Total,Total,1989-02-01,True,False,1992,4,1348.214,1381.529,6416.250,-12.920,1335.294,-46.235,-3.347
outlay,Total,Total,1990-03-01,True,False,1993,4,1408.825,1409.386,6775.325,-39.330,1369.495,-39.891,-2.830
outlay,Total,Total,1991-03-01,True,False,1994,4,1500.662,1461.752,7176.850,12.606,1513.268,51.516,3.524
outlay,Total,Total,1992-03-01,True,False,1995,4,1542.811,1515.742,7560.425,-1.875,1540.936,25.194,1.662
outlay,Total,Total,1993-03-01,True,False,1996,4,1645.392,1560.484,7951.325,-43.765,1601.627,41.143,2.637
outlay,Total,Total,1994-04-01,True,False,1997,4,1670.312,1601.116,8451.025,-19.306,1651.006,49.890,3.116
outlay,Total,Total,1995-04-01,True,False,1998,4,1778.363,1652.458,8930.800,2.452,1780.815,128.357,7.768
outlay,Total,Total,1996-05-01,True,False,1999,4,1828.185,1701.842,9479.625,3.376,1831.561,129.719,7.622
outlay,Total,Total,1997-03-01,True,False,2000,4,1877.300,1788.950,10117.075,32.737,1910.037,121.087,6.769
outlay,Total,Total,1998-03-01,True,False,2001,4,1833.432,1862.846,10525.725,115.287,1948.719,85.873,4.610
outlay,Total,Total,1999-04-01,True,False,2002,4,1802.198,2010.894,10828.875,226.715,2028.913,18.019,0.896
outlay,Total,Total,2000-04-01,True,False,2003,4,1852.916,2159.899,11278.750,338.801,2191.717,31.818,1.473
outlay,Total,Total,2001-05-01,True,False,2004,4,2053.507,2292.841,12028.425,254.942,2308.449,15.608,0.681
outlay,Total,Total,2002-03-01,True,False,2005,4,2230.748,2471.957,12839.950,237.210,2467.958,-3.999,-0.162
outlay,Total,Total,2003-03-01,True,False,2006,4,2417.172,2655.050,13636.750,249.630,2666.802,11.752,0.443
outlay,Total,Total,2004-03-01,True,False,2007,4,2658.708,2728.686,14305.375,110.319,2769.027,40.341,1.478
outlay,Total,Total,2005-03-01,True,False,2008,4,2754.037,2982.544,14796.575,271.054,3025.091,42.547,1.427
outlay,Total,Total,2006-03-01,True,False,2009,4,2967.696,3426.413,14467.300,581.520,3549.216,122.803,3.584
outlay,Total,Total,2007-03-01,True,False,2010,4,3057.894,3416.621,14884.400,561.938,3619.832,203.211,5.948
outlay,Total,Total,2008-03-01,True,False,2011,4,3293.926,3597.887,15466.525,464.140,3758.066,160.179,4.452
outlay,Total,Total,2009-03-01,True,False,2012,4,3401.145,3526.458,16109.425,238.240,3639.385,112.927,3.202
outlay,Total,Total,2010-03-01,True,False,2013,4,3737.785,3551.554,16687.775,5.076,3742.861,191.307,5.387
outlay,Total,Total,2011-03-01,True,False,2014,4,3950.646,3580.677,17428.100,-90.687,3859.959,279.282,7.800
outlay,Total,Total,2012-03-01,True,False,2015,4,3841.847,3714.583,18164.250,74.325,3916.172,201.589,5.427
outlay,Total,Total,2013-05-01,True,False,2016,4,4033.455,3866.934,18641.325,35.418,4068.873,201.939,5.222
outlay,Total,Total,2014-04-01,True,False,2017,4,4194.330,4010.207,19375.175,65.692,4260.022,249.815,6.229
outlay,Total,Total,2015-03-01,True,False,2018,4,4214.002,4118.540,20436.325,167.213,4381.215,262.675,6.378
outlay,Total,Total,2016-03-01,True,False,2019,4,4480.726,4466.142,21275.275,210.763,4691.489,225.347,5.046
outlay,Total,Total,2017-06-01,True,False,2020,4,4627.294,6557.859,21292.400,1992.756,6620.050,62.191,0.948
outlay,Total,Total,2018-05-01,True,False,2021,4,4946.876,6827.400,22936.525,2320.844,7267.720,440.320,6.449
outlay,Total,Total,2019-05-01,True,False,2022,4,5117.400,5900.499,25305.650,832.837,5950.237,49.738,0.843
outlay,Total,Total,1984-02-01,True,False,1988,5,1232.700,1064.415,5138.550,-122.386,1110.314,45.899,4.312
outlay,Total,Total,1985-02-01,True,False,1989,5,1284.085,1143.743,5554.675,-127.823,1156.262,12.519,1.095
outlay,Total,Total,1986-02-01,True,False,1990,5,1188.822,1252.993,5898.750,-45.335,1143.487,-109.506,-8.740
outlay,Total,Total,1987-02-01,True,False,1991,5,1248.410,1324.226,6093.175,-48.169,1200.241,-123.985,-9.363
outlay,Total,Total,1988-03-01,True,False,1992,5,1334.543,1381.529,6416.250,-7.127,1327.416,-54.113,-3.917
outlay,Total,Total,1989-02-01,True,False,1993,5,1415.657,1409.386,6775.325,-36.813,1378.844,-30.542,-2.167
outlay,Total,Total,1990-03-01,True,False,1994,5,1476.005,1461.752,7176.850,-79.500,1396.505,-65.247,-4.464
outlay,Total,Total,1991-03-01,True,False,1995,5,1484.173,1515.742,7560.425,2.200,1486.373,-29.369,-1.938
outlay,Total,Total,1992-03-01,True,False,1996,5,1601.976,1560.484,7951.325,-43.204,1558.772,-1.712,-0.110
outlay,Total,Total,1993-03-01,True,False,1997,5,1734.346,1601.116,8451.025,-75.814,1658.532,57.416,3.586
outlay,Total,Total,1994-04-01,True,False,1998,5,1743.140,1652.458,8930.800,2.428,1745.568,93.110,5.635
outlay,Total,Total,1995-04-01,True,False,1999,5,1884.596,1701.842,9479.625,1.014,1885.610,183.768,10.798
outlay,Total,Total,1996-05-01,True,False,2000,5,1925.053,1788.950,10117.075,21.162,1946.215,157.265,8.791
outlay,Total,Total,1997-03-01,True,False,2001,5,1947.257,1862.846,10525.725,67.530,2014.787,151.941,8.156
outlay,Total,Total,1998-03-01,True,False,2002,5,1863.016,2010.894,10828.875,233.810,2096.826,85.932,4.273
outlay,Total,Total,1999-04-01,True,False,2003,5,1878.018,2159.899,11278.750,349.104,2227.122,67.223,3.112
outlay,Total,Total,2000-04-01,True,False,2004,5,1914.757,2292.841,12028.425,420.650,2335.407,42.566,1.856
outlay,Total,Total,2001-05-01,True,False,2005,5,2133.080,2471.957,12839.950,332.132,2465.212,-6.745,-0.273
outlay,Total,Total,2002-03-01,True,False,2006,5,2312.277,2655.050,13636.750,332.315,2644.592,-10.458,-0.394
outlay,Total,Total,2003-03-01,True,False,2007,5,2513.064,2728.686,14305.375,289.660,2802.724,74.038,2.713
outlay,Total,Total,2004-03-01,True,False,2008,5,2790.535,2982.544,14796.575,201.731,2992.266,9.722,0.326
outlay,Total,Total,2005-03-01,True,False,2009,5,2881.061,3426.413,14467.300,650.181,3531.242,104.829,3.059
outlay,Total,Total,2006-03-01,True,False,2010,5,3098.857,3416.621,14884.400,581.995,3680.852,264.231,7.734
outlay,Total,Total,2007-03-01,True,False,2011,5,3201.737,3597.887,15466.525,561.063,3762.800,164.913,4.584
outlay,Total,Total,2008-03-01,True,False,2012,5,3358.386,3526.458,16109.425,386.243,3744.629,218.171,6.187
outlay,Total,Total,2009-03-01,True,False,2013,5,3567.400,3551.554,16687.775,123.079,3690.479,138.925,3.912
outlay,Total,Total,2010-03-01,True,False,2014,5,3924.960,3580.677,17428.100,-48.960,3876.000,295.323,8.248
outlay,Total,Total,2011-03-01,True,False,2015,5,4177.150,3714.583,18164.250,-148.243,4028.907,314.324,8.462
outlay,Total,Total,2012-03-01,True,False,2016,5,4093.600,3866.934,18641.325,85.672,4179.272,312.338,8.077
outlay,Total,Total,2013-05-01,True,False,2017,5,4257.876,4010.207,19375.175,33.903,4291.779,281.572,7.021
outlay,Total,Total,2014-04-01,True,False,2018,5,4388.765,4118.540,20436.325,155.594,4544.359,425.819,10.339
outlay,Total,Total,2015-03-01,True,False,2019,5,4479.408,4466.142,21275.275,254.616,4734.024,267.882,5.998
outlay,Total,Total,2016-03-01,True,False,2020,5,4727.795,6557.859,21292.400,2028.494,6756.289,198.430,3.026
outlay,Total,Total,2017-06-01,True,False,2021,5,4890.590,6827.400,22936.525,2396.203,7286.793,459.393,6.729
outlay,Total,Total,2018-05-01,True,False,2022,5,5288.752,5900.499,25305.650,769.800,6058.552,158.053,2.679
outlay,Total,Total,1984-02-01,True,False,1989,6,1338.700,1143.743,5554.675,-142.650,1196.050,52.307,4.573
outlay,Total,Total,1985-02-01,True,False,1990,6,1389.707,1252.993,5898.750,-194.508,1195.199,-57.794,-4.612
outlay,Total,Total,1986-02-01,True,False,1991,6,1249.776,1324.226,6093.175,-63.671,1186.105,-138.121,-10.430
outlay,Total,Total,1987-02-01,True,False,1992,6,1306.424,1381.529,6416.250,-49.279,1257.145,-124.384,-9.003
outlay,Total,Total,1988-03-01,True,False,1993,6,1399.875,1409.386,6775.325,-31.449,1368.426,-40.960,-2.906
outlay,Total,Total,1989-02-01,True,False,1994,6,1488.675,1461.752,7176.850,-89.291,1399.384,-62.368,-4.267
outlay,Total,Total,1990-03-01,True,False,1995,6,1548.090,1515.742,7560.425,-118.191,1429.899,-85.843,-5.663
outlay,Total,Total,1991-03-01,True,False,1996,6,1561.159,1560.484,7951.325,-39.658,1521.501,-38.983,-2.498
outlay,Total,Total,1992-03-01,True,False,1997,6,1726.362,1601.116,8451.025,-75.708,1650.654,49.538,3.094
outlay,Total,Total,1993-03-01,True,False,1998,6,1840.174,1652.458,8930.800,-81.589,1758.585,106.127,6.422
outlay,Total,Total,1994-04-01,True,False,1999,6,1842.612,1701.842,9479.625,0.863,1843.475,141.633,8.322
outlay,Total,Total,1995-04-01,True,False,2000,6,1996.670,1788.950,10117.075,18.600,2015.270,226.320,12.651
outlay,Total,Total,1996-05-01,True,False,2001,6,2016.407,1862.846,10525.725,54.444,2070.851,208.005,11.166
outlay,Total,Total,1997-03-01,True,False,2002,6,2047.676,2010.894,10828.875,124.418,2172.094,161.200,8.016
outlay,Total,Total,1998-03-01,True,False,2003,6,1954.254,2159.899,11278.750,355.470,2309.724,149.825,6.937
outlay,Total,Total,1999-04-01,True,False,2004,6,1945.523,2292.841,12028.425,430.386,2375.909,83.068,3.623
outlay,Total,Total,2000-04-01,True,False,2005,6,1982.469,2471.957,12839.950,513.665,2496.134,24.177,0.978
outlay,Total,Total,2001-05-01,True,False,2006,6,2180.570,2655.050,13636.750,443.056,2623.626,-31.424,-1.184
outlay,Total,Total,2002-03-01,True,False,2007,6,2393.690,2728.686,14305.375,375.368,2769.058,40.372,1.480
outlay,Total,Total,2003-03-01,True,False,2008,6,2620.883,2982.544,14796.575,400.740,3021.623,39.079,1.310
outlay,Total,Total,2004-03-01,True,False,2009,6,2923.788,3426.413,14467.300,578.377,3502.165,75.752,2.211
outlay,Total,Total,2005-03-01,True,False,2010,6,3007.737,3416.621,14884.400,662.655,3670.392,253.771,7.428
outlay,Total,Total,2006-03-01,True,False,2011,6,3256.218,3597.887,15466.525,576.531,3832.749,234.862,6.528
outlay,Total,Total,2007-03-01,True,False,2012,6,3250.065,3526.458,16109.425,490.748,3740.813,214.355,6.078
outlay,Total,Total,2008-03-01,True,False,2013,6,3530.070,3551.554,16687.775,263.809,3793.879,242.325,6.823
outlay,Total,Total,2009-03-01,True,False,2014,6,3740.949,3580.677,17428.100,73.312,3814.261,233.584,6.523
outlay,Total,Total,2010-03-01,True,False,2015,6,4094.257,3714.583,18164.250,-66.569,4027.688,313.105,8.429
outlay,Total,Total,2011-03-01,True,False,2016,6,4457.242,3866.934,18641.325,-160.449,4296.793,429.859,11.116
outlay,Total,Total,2012-03-01,True,False,2017,6,4265.303,4010.207,19375.175,113.906,4379.209,369.002,9.202
outlay,Total,Total,2013-05-01,True,False,2018,6,4482.742,4118.540,20436.325,114.759,4597.501,478.961,11.629
outlay,Total,Total,2014-04-01,True,False,2019,6,4647.931,4466.142,21275.275,244.448,4892.379,426.237,9.544
