component,category,subcategory,projected_year_number,projection_year_range,number_of_projections,average_error,average_absolute_error,RMSE,two_thirds_spread
outlay,Total,Total,1,1984-2025,42,0.8,1.3,1.9,2.0
outlay,Total,Total,2,1985-2025,41,0.9,2.5,3.3,4.4
outlay,Total,Total,3,1986-2025,40,1.1,3.6,4.5,7.2
outlay,Total,Total,4,1987-2025,39,1.5,4.5,5.6,8.7
outlay,Total,Total,5,1988-2025,38,1.9,5.5,6.5,11.6
outlay,Total,Total,6,1989-2025,37,2.7,6.4,7.2,13.1
outlay,Total,Total,7,2002-2025,24,5.2,7.1,8.0,10.9
outlay,Total,Total,8,2003-2025,23,6.2,8.0,9.0,11.5
outlay,Total,Total,9,2004-2025,22,7.2,8.7,9.6,11.8
outlay,Total,Total,10,2005-2025,21,8.2,9.2,10.1,9.3
outlay,Total,Total,11,2006-2025,20,9.3,9.9,11.0,11.4
outlay,Mandatory,Total Mandatory,1,1992-2025,34,1.1,1.7,2.7,2.2
outlay,Mandatory,Total Mandatory,2,1993-2025,33,0.9,3.2,4.3,5.6
outlay,Mandatory,Total Mandatory,3,1994-2025,32,0.7,3.9,5.0,8.2
outlay,Mandatory,Total Mandatory,4,1995-2025,31,0.6,4.0,5.4,7.3
outlay,Mandatory,Total Mandatory,5,1996-2025,30,0.7,4.4,5.9,8.6
outlay,Mandatory,Total Mandatory,6,1997-2025,29,1.3,4.5,6.1,7.8
outlay,Mandatory,Total Mandatory,7,2002-2025,24,0.4,4.0,5.4,7.7
outlay,Mandatory,Total Mandatory,8,2003-2025,23,1.0,4.1,5.4,8.4
outlay,Mandatory,Total Mandatory,9,2004-2025,22,1.5,4.5,5.6,8.3
outlay,Mandatory,Total Mandatory,10,2005-2025,21,2.2,5.0,5.8,8.8
outlay,Mandatory,Total Mandatory,11,2006-2025,20,3.0,5.3,6.3,8.8
outlay,Mandatory,Social Security,1,1992-2025,34,0.1,0.2,0.3,0.3
outlay,Mandatory,Social Security,2,1993-2025,33,0.1,0.8,1.0,1.6
outlay,Mandatory,Social Security,3,1994-2025,32,0.1,1.7,2.1,4.0
outlay,Mandatory,Social Security,4,1995-2025,31,0.2,2.7,3.1,7.5
outlay,Mandatory,Social Security,5,1996-2025,30,0.6,3.3,3.9,8.2
outlay,Mandatory,Social Security,6,1997-2025,29,1.2,3.7,4.5,9.2
outlay,Mandatory,Social Security,7,2002-2025,24,1.1,3.8,4.7,9.4
outlay,Mandatory,Social Security,8,2003-2025,23,1.6,4.0,5.1,11.3
outlay,Mandatory,Social Security,9,2004-2025,22,2.1,4.4,5.4,10.1
outlay,Mandatory,Social Security,10,2005-2025,21,2.7,4.6,5.6,10.4
outlay,Mandatory,Social Security,11,2006-2025,20,3.3,4.7,6.0,9.6
outlay,Mandatory,Medicare,1,1992-2025,34,0.3,1.5,1.9,3.9
outlay,Mandatory,Medicare,2,1993-2025,33,1.5,3.4,4.7,7.1
