outlay_category,outlay_subcategory,baseline_date,baseline_name,APB_flag,projected_fiscal_year,projected_year_number,baseline_projected_outlay,actual_outlay,legislative_outlay_change,adjusted_projection,projection_error,projection_error_pct_actual
Total,Total,1984-03-01,March 1984 Baseline,True,1984,1,867.6,851.8,0.3,867.9,16.1,1.9
Total,Total,1984-03-01,March 1984 Baseline,True,1985,2,944.9,946.3,14.1,959.0,12.7,1.3
Total,Total,1984-03-01,March 1984 Baseline,True,1986,3,1026.0,990.4,-20.5,1005.5,15.1,1.5
Total,Total,1984-03-01,March 1984 Baseline,True,1987,4,1124.1,1004.0,-78.0,1046.1,42.1,4.2
Total,Total,1984-03-01,March 1984 Baseline,True,1988,5,1232.7,1064.4,-122.4,1110.3,45.9,4.3
Total,Total,1984-03-01,March 1984 Baseline,True,1989,6,1338.7,1143.7,-142.7,1196.0,52.3,4.6
Total,Total,1985-03-01,March 1985 Baseline,True,1985,1,949.7,946.3,1.4,951.0,4.7,0.5
Total,Total,1985-03-01,March 1985 Baseline,True,1986,2,1008.0,990.4,-18.6,989.3,-1.0,-0.1
Total,Total,1985-03-01,March 1985 Baseline,True,1987,3,1095.3,1004.0,-72.3,1023.0,18.9,1.9
Total,Total,1985-03-01,March 1985 Baseline,True,1988,4,1191.2,1064.4,-113.9,1077.4,12.9,1.2
Total,Total,1985-03-01,March 1985 Baseline,True,1989,5,1284.1,1143.7,-127.8,1156.3,12.5,1.1
Total,Total,1985-03-01,March 1985 Baseline,True,1990,6,1389.7,1253.0,-194.5,1195.2,-57.8,-4.6
Total,Total,1986-03-01,March 1986 Baseline,True,1986,1,986.7,990.4,-4.2,982.5,-7.8,-0.8
Total,Total,1986-03-01,March 1986 Baseline,True,1987,2,1026.7,1004.0,-22.0,1004.7,0.7,0.1
Total,Total,1986-03-01,March 1986 Baseline,True,1988,3,1087.7,1064.4,-35.5,1052.2,-12.2,-1.1
Total,Total,1986-03-01,March 1986 Baseline,True,1989,4,1135.2,1143.7,-16.0,1119.3,-24.5,-2.1
Total,Total,1986-03-01,March 1986 Baseline,True,1990,5,1188.8,1253.0,-45.3,1143.5,-109.5,-8.7
Total,Total,1986-03-01,March 1986 Baseline,True,1991,6,1249.8,1324.2,-63.7,1186.1,-138.1,-10.4
Total,Total,1987-03-01,March 1987 Baseline,True,1987,1,1009.8,1004.0,3.2,1013.0,9.0,0.9
Total,Total,1987-03-01,March 1987 Baseline,True,1988,2,1071.1,1064.4,-24.2,1046.9,-17.5,-1.6
Total,Total,1987-03-01,March 1987 Baseline,True,1989,3,1126.3,1143.7,-3.2,1123.2,-20.6,-1.8
Total,Total,1987-03-01,March 1987 Baseline,True,1990,4,1187.8,1253.0,-32.1,1155.7,-97.3,-7.8
Total,Total,1987-03-01,March 1987 Baseline,True,1991,5,1248.4,1324.2,-48.2,1200.2,-124.0,-9.4
Total,Total,1987-03-01,March 1987 Baseline,True,1992,6,1306.4,1381.5,-49.3,1257.1,-124.4,-9.0
Total,Total,1988-03-01,March 1988 Baseline,True,1988,1,1059.3,1064.4,0.1,1059.4,-5.1,-0.5
Total,Total,1988-03-01,March 1988 Baseline,True,1989,2,1131.3,1143.7,20.4,1151.7,8.0,0.7
Total,Total,1988-03-01,March 1988 Baseline,True,1990,3,1206.0,1253.0,-2.5,1203.5,-49.4,-3.9
Total,Total,1988-03-01,March 1988 Baseline,True,1991,4,1270.9,1324.2,-13.1,1257.8,-66.4,-5.0
Total,Total,1988-03-01,March 1988 Baseline,True,1992,5,1334.5,1381.5,-7.1,1327.4,-54.1,-3.9
Total,Total,1988-03-01,March 1988 Baseline,True,1993,6,1399.9,1409.4,-31.4,1368.4,-41.0,-2.9
Total,Total,1989-03-01,March 1989 Baseline,True,1989,1,1141.8,1143.7,15.0,1156.8,13.1,1.1
Total,Total,1989-03-01,March 1989 Baseline,True,1990,2,1214.9,1253.0,-7.1,1207.8,-45.2,-3.6
Total,Total,1989-03-01,March 1989 Baseline,True,1991,3,1286.6,1324.2,-18.9,1267.7,-56.5,-4.3
Total,Total,1989-03-01,March 1989 Baseline,True,1992,4,1348.2,1381.5,-12.9,1335.3,-46.2,-3.3
Total,Total,1989-03-01,March 1989 Baseline,True,1993,5,1415.7,1409.4,-36.8,1378.8,-30.5,-2.2
Total,Total,1989-03-01,March 1989 Baseline,True,1994,6,1488.7,1461.8,-89.3,1399.4,-62.4,-4.3
Total,Total,1990-03-01,March 1990 Baseline,True,1990,1,1225.9,1253.0,0.2,1226.0,-27.0,-2.2
Total,Total,1990-03-01,March 1990 Baseline,True,1991,2,1298.5,1324.2,-11.3,1287.2,-37.0,-2.8
Total,Total,1990-03-01,March 1990 Baseline,True,1992,3,1328.2,1381.5,-4.3,1323.8,-57.7,-4.2
Total,Total,1990-03-01,March 1990 Baseline,True,1993,4,1408.8,1409.4,-39.3,1369.5,-39.9,-2.8
Total,Total,1990-03-01,March 1990 Baseline,True,1994,5,1476.0,1461.8,-79.5,1396.5,-65.2,-4.5
Total,Total,1990-03-01,March 1990 Baseline,True,1995,6,1548.1,1515.7,-118.2,1429.9,-85.8,-5.7
Total,Total,1991-03-01,March 1991 Baseline,True,1991,1,1401.6,1324.2,3.5,1405.1,80.8,6.1
Total,Total,1991-03-01,March 1991 Baseline,True,1992,2,1463.4,1381.5,28.8,1492.2,110.7,8.0
Total,Total,1991-03-01,March 1991 Baseline,True,1993,3,1471.8,1409.4,14.7,1486.5,77.1,5.5
Total,Total,1991-03-01,March 1991 Baseline,True,1994,4,1500.7,1461.8,12.6,1513.3,51.5,3.5
Total,Total,1991-03-01,March 1991 Baseline,True,1995,5,1484.2,1515.7,2.2,1486.4,-29.4,-1.9
Total,Total,1991-03-01,March 1991 Baseline,True,1996,6,1561.2,1560.5,-39.7,1521.5,-39.0,-2.5
Total,Total,1992-03-01,March 1992 Baseline,True,1992,1,1455.4,1381.5,-0.8,1454.6,73.0,5.3
