component,category,subcategory,fiscal_year,actual_value,GDP,actuals_pct_GDP
revenue,Corporate Income Taxes,Corporate Income Taxes,1982,49.2,3313.3,1.5
revenue,Corporate Income Taxes,Corporate Income Taxes,1983,37.0,3536.0,1.0
revenue,Corporate Income Taxes,Corporate Income Taxes,1984,56.9,3949.2,1.4
revenue,Corporate Income Taxes,Corporate Income Taxes,1985,61.3,4265.1,1.4
revenue,Corporate Income Taxes,Corporate Income Taxes,1986,63.1,4526.2,1.4
revenue,Corporate Income Taxes,Corporate Income Taxes,1987,83.9,4767.6,1.8
revenue,Corporate Income Taxes,Corporate Income Taxes,1988,94.5,5138.6,1.8
revenue,Corporate Income Taxes,Corporate Income Taxes,1989,103.3,5554.7,1.9
revenue,Corporate Income Taxes,Corporate Income Taxes,1990,93.5,5898.8,1.6
revenue,Corporate Income Taxes,Corporate Income Taxes,1991,98.1,6093.2,1.6
revenue,Corporate Income Taxes,Corporate Income Taxes,1992,100.3,6416.2,1.6
revenue,Corporate Income Taxes,Corporate Income Taxes,1993,117.5,6775.3,1.7
revenue,Corporate Income Taxes,Corporate Income Taxes,1994,140.4,7176.9,2.0
revenue,Corporate Income Taxes,Corporate Income Taxes,1995,157.0,7560.4,2.1
revenue,Corporate Income Taxes,Corporate Income Taxes,1996,171.8,7951.3,2.2
revenue,Corporate Income Taxes,Corporate Income Taxes,1997,182.3,8451.0,2.2
revenue,Corporate Income Taxes,Corporate Income Taxes,1998,188.7,8930.8,2.1
revenue,Corporate Income Taxes,Corporate Income Taxes,1999,184.7,9479.6,1.9
revenue,Corporate Income Taxes,Corporate Income Taxes,2000,207.3,10117.1,2.0
revenue,Corporate Income Taxes,Corporate Income Taxes,2001,151.1,10525.7,1.4
revenue,Corporate Income Taxes,Corporate Income Taxes,2002,148.0,10828.9,1.4
revenue,Corporate Income Taxes,Corporate Income Taxes,2003,131.8,11278.8,1.2
revenue,Corporate Income Taxes,Corporate Income Taxes,2004,189.4,12028.4,1.6
revenue,Corporate Income Taxes,Corporate Income Taxes,2005,278.3,12840.0,2.2
revenue,Corporate Income Taxes,Corporate Income Taxes,2006,353.9,13636.8,2.6
revenue,Corporate Income Taxes,Corporate Income Taxes,2007,370.2,14305.4,2.6
revenue,Corporate Income Taxes,Corporate Income Taxes,2008,304.3,14796.6,2.1
revenue,Corporate Income Taxes,Corporate Income Taxes,2009,138.2,14467.3,1.0
revenue,Corporate Income Taxes,Corporate Income Taxes,2010,191.4,14884.4,1.3
revenue,Corporate Income Taxes,Corporate Income Taxes,2011,181.1,15466.5,1.2
revenue,Corporate Income Taxes,Corporate Income Taxes,2012,242.3,16109.4,1.5
revenue,Corporate Income Taxes,Corporate Income Taxes,2013,273.5,16687.8,1.6
