component,category,subcategory,baseline_date,Spring_flag,Winter_flag,projected_fiscal_year,projected_year_number,value,actual_value,GDP,legislative_revenue_change,adjusted_projection,projection_error,projection_error_pct_actual,leg_change_pct_GDP,projection_error_pct_GDP
revenue,Total,Total,1982-02-01,False,True,1982,1,631.000,617.766,3313.350,0.000,631.000,13.234,2.142,0.000,0.399
revenue,Total,Total,1983-02-01,False,True,1983,1,606.000,600.562,3536.000,0.000,606.000,5.438,0.905,0.000,0.154
revenue,Total,Total,1984-02-01,True,True,1984,1,663.000,666.437,3949.175,0.900,663.900,-2.537,-0.381,0.023,-0.064
revenue,Total,Total,1985-02-01,True,True,1985,1,734.940,734.037,4265.125,-0.150,734.790,0.753,0.103,-0.004,0.018
revenue,Total,Total,1986-02-01,True,True,1986,1,777.832,769.154,4526.250,0.765,778.597,9.443,1.228,0.017,0.209
revenue,Total,Total,1987-01-01,False,True,1987,1,833.855,854.287,4767.650,0.002,833.857,-20.430,-2.391,0.000,-0.429
revenue,Total,Total,1987-02-01,True,False,1987,1,834.099,854.287,4767.650,0.002,834.101,-20.186,-2.363,0.000,-0.423
revenue,Total,Total,1988-02-01,False,True,1988,1,897.336,909.237,5138.550,0.000,897.336,-11.901,-1.309,0.000,-0.232
revenue,Total,Total,1988-03-01,True,False,1988,1,898.469,909.237,5138.550,0.000,898.469,-10.768,-1.184,0.000,-0.210
revenue,Total,Total,1989-01-01,True,True,1989,1,982.900,991.105,5554.675,0.455,983.355,-7.750,-0.782,0.008,-0.140
revenue,Total,Total,1990-01-01,True,True,1990,1,1067.168,1031.956,5898.750,0.000,1067.168,35.212,3.412,0.000,0.597
revenue,Total,Total,1991-01-01,False,True,1991,1,1093.781,1054.987,6093.175,-0.733,1093.048,38.061,3.608,-0.012,0.625
revenue,Total,Total,1991-03-01,True,False,1991,1,1092.790,1054.987,6093.175,0.000,1092.790,37.803,3.583,0.000,0.620
revenue,Total,Total,1992-01-01,False,True,1992,1,1102.444,1091.207,6416.250,-14.549,1087.895,-3.312,-0.304,-0.227,-0.052
revenue,Total,Total,1992-03-01,True,False,1992,1,1087.818,1091.207,6416.250,0.002,1087.820,-3.387,-0.310,0.000,-0.053
revenue,Total,Total,1993-01-01,False,True,1993,1,1142.653,1154.335,6775.325,0.000,1142.653,-11.682,-1.012,0.000,-0.172
revenue,Total,Total,1993-03-01,True,False,1993,1,1141.898,1154.335,6775.325,0.000,1141.898,-12.437,-1.077,0.000,-0.184
revenue,Total,Total,1994-01-01,True,True,1994,1,1250.510,1258.569,7176.850,0.000,1250.510,-8.059,-0.640,0.000,-0.112
revenue,Total,Total,1995-01-01,True,True,1995,1,1355.213,1351.790,7560.425,-0.248,1354.965,3.175,0.235,-0.003,0.042
revenue,Total,Total,1996-05-01,True,True,1996,1,1428.282,1453.053,7951.325,0.063,1428.345,-24.708,-1.700,0.001,-0.311
revenue,Total,Total,1997-01-01,False,True,1997,1,1507.345,1579.232,8451.025,2.790,1510.135,-69.097,-4.375,0.033,-0.818
revenue,Total,Total,1997-03-01,True,False,1997,1,1506.902,1579.232,8451.025,2.790,1509.692,-69.540,-4.403,0.033,-0.823
revenue,Total,Total,1998-01-01,False,True,1998,1,1664.757,1721.728,8930.800,0.604,1665.361,-56.367,-3.274,0.007,-0.631
revenue,Total,Total,1998-03-01,True,False,1998,1,1679.682,1721.728,8930.800,0.604,1680.286,-41.442,-2.407,0.007,-0.464
revenue,Total,Total,1999-01-01,True,True,1999,1,1814.560,1827.452,9479.625,0.004,1814.564,-12.888,-0.705,0.000,-0.136
revenue,Total,Total,2000-01-01,True,True,2000,1,1945.128,2025.191,10117.075,-0.008,1945.120,-80.071,-3.954,-0.000,-0.791
revenue,Total,Total,2001-01-01,False,True,2001,1,2134.571,1991.082,10525.725,-70.207,2064.364,73.282,3.681,-0.667,0.696
revenue,Total,Total,2001-05-01,True,False,2001,1,2114.543,1991.082,10525.725,-70.207,2044.336,53.254,2.675,-0.667,0.506
revenue,Total,Total,2002-01-01,False,True,2002,1,1982.724,1853.136,10828.875,-42.941,1939.783,86.647,4.676,-0.397,0.800
revenue,Total,Total,2002-03-01,True,False,2002,1,2005.895,1853.136,10828.875,-42.941,1962.954,109.818,5.926,-0.397,1.014
revenue,Total,Total,2003-01-01,False,True,2003,1,1921.526,1782.314,11278.750,-53.276,1868.250,85.936,4.822,-0.472,0.762
revenue,Total,Total,2003-03-01,True,False,2003,1,1891.441,1782.314,11278.750,-53.276,1838.165,55.851,3.134,-0.472,0.495
revenue,Total,Total,2004-01-01,False,True,2004,1,1817.149,1880.114,12028.425,3.340,1820.489,-59.625,-3.171,0.028,-0.496
revenue,Total,Total,2004-03-01,True,False,2004,1,1817.359,1880.114,12028.425,3.359,1820.718,-59.396,-3.159,0.028,-0.494
revenue,Total,Total,2005-01-01,False,True,2005,1,2057.271,2153.611,12839.950,0.069,2057.340,-96.271,-4.470,0.001,-0.750
revenue,Total,Total,2005-03-01,True,False,2005,1,2057.499,2153.611,12839.950,0.080,2057.579,-96.032,-4.459,0.001,-0.748
revenue,Total,Total,2006-01-01,False,True,2006,1,2312.438,2406.869,13636.750,-4.367,2308.071,-98.798,-4.105,-0.032,-0.724
revenue,Total,Total,2006-03-01,True,False,2006,1,2312.609,2406.869,13636.750,-4.367,2308.242,-98.627,-4.098,-0.032,-0.723
revenue,Total,Total,2007-01-01,False,True,2007,1,2542.287,2567.985,14305.375,-0.191,2542.096,-25.889,-1.008,-0.001,-0.181
revenue,Total,Total,2007-03-01,True,False,2007,1,2542.292,2567.985,14305.375,-0.191,2542.101,-25.884,-1.008,-0.001,-0.181
revenue,Total,Total,2008-01-01,False,True,2008,1,2654.393,2523.991,14796.575,-114.839,2539.554,15.563,0.617,-0.776,0.105
revenue,Total,Total,2008-03-01,True,False,2008,1,2546.245,2523.991,14796.575,-1.097,2545.148,21.157,0.838,-0.007,0.143
revenue,Total,Total,2009-01-01,False,True,2009,1,2357.282,2104.989,14467.300,-60.983,2296.299,191.310,9.088,-0.422,1.322
revenue,Total,Total,2009-03-01,True,False,2009,1,2185.688,2104.989,14467.300,0.008,2185.696,80.707,3.834,0.000,0.558
revenue,Total,Total,2010-01-01,False,True,2010,1,2174.924,2162.706,14884.400,-8.953,2165.971,3.265,0.151,-0.060,0.022
revenue,Total,Total,2010-03-01,True,False,2010,1,2176.434,2162.706,14884.400,-8.209,2168.225,5.519,0.255,-0.055,0.037
revenue,Total,Total,2011-01-01,False,True,2011,1,2228.460,2303.466,15466.525,0.000,2228.460,-75.006,-3.256,0.000,-0.485
revenue,Total,Total,2011-03-01,True,False,2011,1,2230.199,2303.466,15466.525,0.000,2230.199,-73.267,-3.181,0.000,-0.474
revenue,Total,Total,2012-01-01,False,True,2012,1,2522.824,2449.990,16109.425,-69.796,2453.028,3.038,0.124,-0.433,0.019
revenue,Total,Total,2012-03-01,True,False,2012,1,2455.715,2449.990,16109.425,0.597,2456.312,6.322,0.258,0.004,0.039
revenue,Total,Total,2013-02-01,False,True,2013,1,2708.231,2775.106,16687.775,0.000,2708.231,-66.875,-2.410,0.000,-0.401
revenue,Total,Total,2014-02-01,False,True,2014,1,3028.768,3021.491,17428.100,0.759,3029.527,8.036,0.266,0.004,0.046
revenue,Total,Total,2014-04-01,True,False,2014,1,3031.570,3021.491,17428.100,0.749,3032.319,10.828,0.358,0.004,0.062
revenue,Total,Total,2015-01-01,False,True,2015,1,3188.539,3249.890,18164.250,-0.983,3187.556,-62.334,-1.918,-0.005,-0.343
revenue,Total,Total,2015-03-01,True,False,2015,1,3191.438,3249.890,18164.250,-0.984,3190.454,-59.436,-1.829,-0.005,-0.327
revenue,Total,Total,2016-01-01,False,True,2016,1,3375.500,3267.965,18641.325,-0.007,3375.493,107.528,3.290,-0.000,0.577
revenue,Total,Total,2016-03-01,True,False,2016,1,3363.553,3267.965,18641.325,0.000,3363.553,95.588,2.925,0.000,0.513
revenue,Total,Total,2017-01-01,False,True,2017,1,3404.224,3316.184,19375.175,0.001,3404.225,88.041,2.655,0.000,0.454
revenue,Total,Total,2017-06-01,True,False,2017,1,3314.931,3316.184,19375.175,0.000,3314.931,-1.253,-0.038,0.000,-0.006
revenue,Total,Total,2018-04-01,False,True,2018,1,3337.552,3329.907,20436.325,0.000,3337.552,7.645,0.230,0.000,0.037
revenue,Total,Total,2018-05-01,True,False,2018,1,3338.770,3329.907,20436.325,0.000,3338.770,8.863,0.266,0.000,0.043
revenue,Total,Total,2019-01-01,False,True,2019,1,3514.912,3463.364,21286.150,-0.124,3514.788,51.424,1.485,-0.001,0.242
revenue,Total,Total,2019-05-01,True,False,2019,1,3510.962,3463.364,21286.150,0.000,3510.962,47.598,1.374,0.000,0.224
revenue,Total,Total,2020-01-01,False,True,2020,1,3631.979,3421.164,21320.225,-538.529,3093.450,-327.714,-9.579,-2.526,-1.537
revenue,Total,Total,2020-03-01,True,False,2020,1,3632.285,3421.164,21320.225,-538.539,3093.746,-327.418,-9.570,-2.526,-1.536
revenue,Total,Total,2021-02-01,False,True,2021,1,3505.970,4047.113,23004.125,-80.137,3425.833,-621.280,-15.351,-0.348,-2.701
revenue,Total,Total,2021-07-01,True,False,2021,1,3841.778,4047.113,23004.125,0.000,3841.778,-205.335,-5.074,0.000,-0.893
revenue,Total,Total,2022-05-01,True,True,2022,1,4836.043,4897.338,25517.575,-0.008,4836.035,-61.303,-1.252,-0.000,-0.240
revenue,Total,Total,2023-02-01,False,True,2023,1,4811.672,4440.945,27330.050,0.000,4811.672,370.727,8.348,0.000,1.356
revenue,Total,Total,2023-05-01,True,False,2023,1,4814.710,4440.945,27330.050,0.000,4814.710,373.765,8.416,0.000,1.368
revenue,Total,Total,2024-02-01,False,True,2024,1,4935.006,4918.104,28828.175,-1.273,4933.733,15.629,0.318,-0.004,0.054
revenue,Total,Total,2024-06-01,True,False,2024,1,4889.761,4918.104,28828.175,0.000,4889.761,-28.343,-0.576,0.000,-0.098
revenue,Total,Total,1982-02-01,False,True,1983,2,652.000,600.562,3536.000,20.000,672.000,71.438,11.895,0.566,2.020
revenue,Total,Total,1983-02-01,False,True,1984,2,653.000,666.437,3949.175,4.900,657.900,-8.537,-1.281,0.124,-0.216
revenue,Total,Total,1984-02-01,True,True,1985,2,732.900,734.037,4265.125,10.147,743.047,9.010,1.227,0.238,0.211
revenue,Total,Total,1985-02-01,True,True,1986,2,788.440,769.154,4526.250,1.555,789.995,20.841,2.710,0.034,0.460
revenue,Total,Total,1986-02-01,True,True,1987,2,844.003,854.287,4767.650,19.567,863.570,9.283,1.087,0.410,0.195
revenue,Total,Total,1987-01-01,False,True,1988,2,900.197,909.237,5138.550,10.558,910.755,1.518,0.167,0.205,0.030
revenue,Total,Total,1987-02-01,True,False,1988,2,900.451,909.237,5138.550,10.558,911.009,1.772,0.195,0.205,0.034
revenue,Total,Total,1988-02-01,False,True,1989,2,952.992,991.105,5554.675,0.139,953.131,-37.974,-3.831,0.003,-0.684
revenue,Total,Total,1988-03-01,True,False,1989,2,954.246,991.105,5554.675,0.139,954.385,-36.720,-3.705,0.003,-0.661
revenue,Total,Total,1989-01-01,True,True,1990,2,1068.634,1031.956,5898.750,-0.691,1067.943,35.987,3.487,-0.012,0.610
revenue,Total,Total,1990-01-01,True,True,1991,2,1137.259,1054.987,6093.175,17.073,1154.332,99.345,9.417,0.280,1.630
revenue,Total,Total,1991-01-01,False,True,1992,2,1169.707,1091.207,6416.250,-11.863,1157.844,66.637,6.107,-0.185,1.039
revenue,Total,Total,1991-03-01,True,False,1992,2,1169.213,1091.207,6416.250,-11.593,1157.620,66.413,6.086,-0.181,1.035
revenue,Total,Total,1992-01-01,False,True,1993,2,1178.680,1154.335,6775.325,-0.923,1177.757,23.422,2.029,-0.014,0.346
revenue,Total,Total,1992-03-01,True,False,1993,2,1173.438,1154.335,6775.325,4.140,1177.578,23.243,2.014,0.061,0.343
revenue,Total,Total,1993-01-01,False,True,1994,2,1215.303,1258.569,7176.850,26.265,1241.568,-17.001,-1.351,0.366,-0.237
revenue,Total,Total,1993-03-01,True,False,1994,2,1214.415,1258.569,7176.850,26.265,1240.680,-17.889,-1.421,0.366,-0.249
revenue,Total,Total,1994-01-01,True,True,1995,2,1338.200,1351.790,7560.425,0.285,1338.485,-13.305,-0.984,0.004,-0.176
revenue,Total,Total,1995-01-01,True,True,1996,2,1417.720,1453.053,7951.325,-0.075,1417.645,-35.408,-2.437,-0.001,-0.445
revenue,Total,Total,1996-05-01,True,True,1997,2,1483.265,1579.232,8451.025,3.665,1486.930,-92.302,-5.845,0.043,-1.092
revenue,Total,Total,1997-01-01,False,True,1998,2,1566.874,1721.728,8930.800,-8.459,1558.415,-163.313,-9.485,-0.095,-1.829
revenue,Total,Total,1997-03-01,True,False,1998,2,1566.472,1721.728,8930.800,-8.459,1558.013,-163.715,-9.509,-0.095,-1.833
revenue,Total,Total,1998-01-01,False,True,1999,2,1728.538,1827.452,9479.625,1.277,1729.815,-97.637,-5.343,0.013,-1.030
revenue,Total,Total,1998-03-01,True,False,1999,2,1738.483,1827.452,9479.625,1.277,1739.760,-87.692,-4.799,0.013,-0.925
revenue,Total,Total,1999-01-01,True,True,2000,2,1869.999,2025.191,10117.075,3.209,1873.208,-151.983,-7.505,0.032,-1.502
revenue,Total,Total,2000-01-01,True,True,2001,2,2016.349,1991.082,10525.725,-72.722,1943.627,-47.455,-2.383,-0.691,-0.451
revenue,Total,Total,2001-01-01,False,True,2002,2,2235.796,1853.136,10828.875,-74.559,2161.237,308.101,16.626,-0.689,2.845
revenue,Total,Total,2001-05-01,True,False,2002,2,2225.766,1853.136,10828.875,-74.559,2151.207,298.071,16.085,-0.689,2.753
revenue,Total,Total,2002-01-01,False,True,2003,2,2070.458,1782.314,11278.750,-93.339,1977.119,194.805,10.930,-0.828,1.727
revenue,Total,Total,2002-03-01,True,False,2003,2,2085.896,1782.314,11278.750,-93.339,1992.557,210.243,11.796,-0.828,1.864
revenue,Total,Total,2003-01-01,False,True,2004,2,2054.360,1880.114,12028.425,-132.196,1922.164,42.050,2.237,-1.099,0.350
revenue,Total,Total,2003-03-01,True,False,2004,2,2024.256,1880.114,12028.425,-132.196,1892.060,11.946,0.635,-1.099,0.099
revenue,Total,Total,2004-01-01,False,True,2005,2,2049.086,2153.611,12839.950,-26.342,2022.744,-130.867,-6.077,-0.205,-1.019
revenue,Total,Total,2004-03-01,True,False,2005,2,2049.562,2153.611,12839.950,-26.295,2023.267,-130.344,-6.052,-0.205,-1.015
revenue,Total,Total,2005-01-01,False,True,2006,2,2212.265,2406.869,13636.750,-11.951,2200.314,-206.555,-8.582,-0.088,-1.515
revenue,Total,Total,2005-03-01,True,False,2006,2,2212.539,2406.869,13636.750,-11.960,2200.579,-206.290,-8.571,-0.088,-1.513
revenue,Total,Total,2006-01-01,False,True,2007,2,2461.190,2567.985,14305.375,-47.795,2413.395,-154.590,-6.020,-0.334,-1.081
revenue,Total,Total,2006-03-01,True,False,2007,2,2461.416,2567.985,14305.375,-47.795,2413.621,-154.364,-6.011,-0.334,-1.079
revenue,Total,Total,2007-01-01,False,True,2008,2,2719.603,2523.991,14796.575,-184.354,2535.249,11.258,0.446,-1.246,0.076
revenue,Total,Total,2007-03-01,True,False,2008,2,2719.794,2523.991,14796.575,-184.354,2535.440,11.449,0.454,-1.246,0.077
revenue,Total,Total,2008-01-01,False,True,2009,2,2817.044,2104.989,14467.300,-188.088,2628.956,523.967,24.892,-1.300,3.622
revenue,Total,Total,2008-03-01,True,False,2009,2,2793.000,2104.989,14467.300,-175.817,2617.183,512.194,24.332,-1.215,3.540
revenue,Total,Total,2009-01-01,False,True,2010,2,2533.139,2162.706,14884.400,-218.617,2314.522,151.816,7.020,-1.469,1.020
revenue,Total,Total,2009-03-01,True,False,2010,2,2334.194,2162.706,14884.400,-46.062,2288.132,125.426,5.799,-0.309,0.843
revenue,Total,Total,2010-01-01,False,True,2011,2,2669.697,2303.466,15466.525,-410.866,2258.831,-44.635,-1.938,-2.656,-0.289
revenue,Total,Total,2010-03-01,True,False,2011,2,2672.901,2303.466,15466.525,-410.389,2262.512,-40.954,-1.778,-2.653,-0.265
revenue,Total,Total,2011-01-01,False,True,2012,2,2554.863,2449.990,16109.425,-90.149,2464.714,14.724,0.601,-0.560,0.091
revenue,Total,Total,2011-03-01,True,False,2012,2,2558.169,2449.990,16109.425,-90.149,2468.020,18.030,0.736,-0.560,0.112
revenue,Total,Total,2012-01-01,False,True,2013,2,2988.156,2775.106,16687.775,-300.353,2687.803,-87.303,-3.146,-1.800,-0.523
revenue,Total,Total,2012-03-01,True,False,2013,2,2968.459,2775.106,16687.775,-277.492,2690.967,-84.139,-3.032,-1.663,-0.504
revenue,Total,Total,2013-02-01,False,True,2014,2,3002.649,3021.491,17428.100,0.813,3003.462,-18.029,-0.597,0.005,-0.103
revenue,Total,Total,2013-05-01,True,False,2014,2,3041.822,3021.491,17428.100,0.813,3042.635,21.144,0.700,0.005,0.121
revenue,Total,Total,2014-02-01,False,True,2015,2,3304.911,3249.890,18164.250,-79.690,3225.221,-24.669,-0.759,-0.439,-0.136
revenue,Total,Total,2014-04-01,True,False,2015,2,3305.080,3249.890,18164.250,-79.708,3225.372,-24.518,-0.754,-0.439,-0.135
revenue,Total,Total,2015-01-01,False,True,2016,2,3459.531,3267.965,18641.325,-133.833,3325.698,57.733,1.767,-0.718,0.310
revenue,Total,Total,2015-03-01,True,False,2016,2,3470.401,3267.965,18641.325,-134.035,3336.366,68.401,2.093,-0.719,0.367
revenue,Total,Total,2016-01-01,False,True,2017,2,3510.797,3316.184,19375.175,0.073,3510.870,194.686,5.871,0.000,1.005
revenue,Total,Total,2016-03-01,True,False,2017,2,3508.070,3316.184,19375.175,0.067,3508.137,191.953,5.788,0.000,0.991
revenue,Total,Total,2017-01-01,False,True,2018,2,3603.688,3329.907,20436.325,-162.959,3440.729,110.822,3.328,-0.797,0.542
revenue,Total,Total,2017-06-01,True,False,2018,2,3531.448,3329.907,20436.325,-162.938,3368.510,38.603,1.159,-0.797,0.189
revenue,Total,Total,2018-04-01,False,True,2019,2,3489.690,3463.364,21286.150,0.233,3489.923,26.559,0.767,0.001,0.125
revenue,Total,Total,2018-05-01,True,False,2019,2,3490.414,3463.364,21286.150,0.233,3490.647,27.283,0.788,0.001,0.128
revenue,Total,Total,2019-01-01,False,True,2020,2,3685.817,3421.164,21320.225,-572.990,3112.827,-308.337,-9.013,-2.688,-1.446
revenue,Total,Total,2019-05-01,True,False,2020,2,3680.930,3421.164,21320.225,-572.989,3107.941,-313.223,-9.155,-2.688,-1.469
revenue,Total,Total,2020-01-01,False,True,2021,2,3815.983,4047.113,23004.125,-383.458,3432.525,-614.588,-15.186,-1.667,-2.672
revenue,Total,Total,2020-03-01,True,False,2021,2,3815.473,4047.113,23004.125,-383.498,3431.975,-615.138,-15.199,-1.667,-2.674
revenue,Total,Total,2021-02-01,False,True,2022,2,3994.666,4897.338,25517.575,-45.513,3949.153,-948.185,-19.361,-0.178,-3.716
revenue,Total,Total,2021-07-01,True,False,2022,2,4390.399,4897.338,25517.575,8.558,4398.957,-498.381,-10.177,0.034,-1.953
revenue,Total,Total,2022-05-01,True,True,2023,2,4889.603,4440.945,27330.050,26.261,4915.864,474.919,10.694,0.096,1.738
revenue,Total,Total,2023-02-01,False,True,2024,2,4838.431,4918.104,28828.175,-1.396,4837.035,-81.069,-1.648,-0.005,-0.281
revenue,Total,Total,2023-05-01,True,False,2024,2,4847.506,4918.104,28828.175,-1.396,4846.110,-71.994,-1.464,-0.005,-0.250
revenue,Total,Total,1982-02-01,False,True,1984,3,701.000,666.437,3949.175,46.900,747.900,81.463,12.224,1.188,2.063
revenue,Total,Total,1983-02-01,False,True,1985,3,715.000,734.037,4265.125,17.147,732.147,-1.890,-0.257,0.402,-0.044
revenue,Total,Total,1984-02-01,True,True,1986,3,794.800,769.154,4526.250,17.859,812.659,43.505,5.656,0.395,0.961
revenue,Total,Total,1985-02-01,True,True,1987,3,855.244,854.287,4767.650,19.632,874.876,20.589,2.410,0.412,0.432
revenue,Total,Total,1986-02-01,True,True,1988,3,920.994,909.237,5138.550,18.849,939.843,30.606,3.366,0.367,0.596
revenue,Total,Total,1987-01-01,False,True,1989,3,961.836,991.105,5554.675,16.283,978.119,-12.986,-1.310,0.293,-0.234
revenue,Total,Total,1987-02-01,True,False,1989,3,961.992,991.105,5554.675,16.283,978.275,-12.830,-1.295,0.293,-0.231
revenue,Total,Total,1988-02-01,False,True,1990,3,1035.987,1031.956,5898.750,3.478,1039.465,7.509,0.728,0.059,0.127
revenue,Total,Total,1988-03-01,True,False,1990,3,1036.350,1031.956,5898.750,3.478,1039.828,7.872,0.763,0.059,0.133
revenue,Total,Total,1989-01-01,True,True,1991,3,1140.154,1054.987,6093.175,15.639,1155.793,100.806,9.555,0.257,1.654
revenue,Total,Total,1990-01-01,True,True,1992,3,1203.753,1091.207,6416.250,21.121,1224.874,133.667,12.249,0.329,2.083
revenue,Total,Total,1991-01-01,False,True,1993,3,1251.001,1154.335,6775.325,-0.979,1250.022,95.687,8.289,-0.014,1.412
revenue,Total,Total,1991-03-01,True,False,1993,3,1250.736,1154.335,6775.325,-0.978,1249.758,95.423,8.266,-0.014,1.408
revenue,Total,Total,1992-01-01,False,True,1994,3,1262.685,1258.569,7176.850,25.516,1288.201,29.632,2.354,0.356,0.413
revenue,Total,Total,1992-03-01,True,False,1994,3,1261.578,1258.569,7176.850,26.554,1288.132,29.563,2.349,0.370,0.412
revenue,Total,Total,1993-01-01,False,True,1995,3,1290.647,1351.790,7560.425,43.720,1334.367,-17.423,-1.289,0.578,-0.230
revenue,Total,Total,1993-03-01,True,False,1995,3,1289.752,1351.790,7560.425,43.720,1333.472,-18.318,-1.355,0.578,-0.242
revenue,Total,Total,1994-01-01,True,True,1996,3,1410.749,1453.053,7951.325,-1.397,1409.352,-43.701,-3.008,-0.018,-0.550
revenue,Total,Total,1995-01-01,True,True,1997,3,1475.496,1579.232,8451.025,3.734,1479.230,-100.002,-6.332,0.044,-1.183
revenue,Total,Total,1996-05-01,True,True,1998,3,1543.573,1721.728,8930.800,-8.911,1534.662,-187.066,-10.865,-0.100,-2.095
revenue,Total,Total,1997-01-01,False,True,1999,3,1633.565,1827.452,9479.625,-5.498,1628.067,-199.385,-10.911,-0.058,-2.103
revenue,Total,Total,1997-03-01,True,False,1999,3,1633.164,1827.452,9479.625,-5.498,1627.666,-199.786,-10.932,-0.058,-2.108
revenue,Total,Total,1998-01-01,False,True,2000,3,1778.596,2025.191,10117.075,5.348,1783.944,-241.247,-11.912,0.053,-2.385
revenue,Total,Total,1998-03-01,True,False,2000,3,1783.541,2025.191,10117.075,5.348,1788.889,-236.302,-11.668,0.053,-2.336
revenue,Total,Total,1999-01-01,True,True,2001,3,1930.391,1991.082,10525.725,-78.746,1851.645,-139.437,-7.003,-0.748,-1.325
revenue,Total,Total,2000-01-01,True,True,2002,3,2096.241,1853.136,10828.875,-77.675,2018.566,165.430,8.927,-0.717,1.528
revenue,Total,Total,2001-01-01,False,True,2003,3,2343.049,1782.314,11278.750,-179.585,2163.464,381.150,21.385,-1.592,3.379
revenue,Total,Total,2001-05-01,True,False,2003,3,2338.030,1782.314,11278.750,-179.585,2158.445,376.131,21.104,-1.592,3.335
revenue,Total,Total,2002-01-01,False,True,2004,3,2205.929,1880.114,12028.425,-161.906,2044.023,163.909,8.718,-1.346,1.363
revenue,Total,Total,2002-03-01,True,False,2004,3,2209.292,1880.114,12028.425,-161.906,2047.386,167.272,8.897,-1.346,1.391
revenue,Total,Total,2003-01-01,False,True,2005,3,2225.115,2153.611,12839.950,-104.267,2120.848,-32.763,-1.521,-0.812,-0.255
revenue,Total,Total,2003-03-01,True,False,2005,3,2204.921,2153.611,12839.950,-104.267,2100.654,-52.957,-2.459,-0.812,-0.412
revenue,Total,Total,2004-01-01,False,True,2006,3,2255.911,2406.869,13636.750,-56.203,2199.708,-207.161,-8.607,-0.412,-1.519
revenue,Total,Total,2004-03-01,True,False,2006,3,2255.243,2406.869,13636.750,-56.177,2199.066,-207.803,-8.634,-0.412,-1.524
revenue,Total,Total,2005-01-01,False,True,2007,3,2356.956,2567.985,14305.375,-55.288,2301.668,-266.317,-10.371,-0.386,-1.862
revenue,Total,Total,2005-03-01,True,False,2007,3,2357.163,2567.985,14305.375,-55.288,2301.875,-266.110,-10.363,-0.386,-1.860
revenue,Total,Total,2006-01-01,False,True,2008,3,2597.802,2523.991,14796.575,-202.418,2395.384,-128.607,-5.095,-1.368,-0.869
revenue,Total,Total,2006-03-01,True,False,2008,3,2598.239,2523.991,14796.575,-202.418,2395.821,-128.170,-5.078,-1.368,-0.866
revenue,Total,Total,2007-01-01,False,True,2009,3,2809.279,2104.989,14467.300,-168.770,2640.509,535.520,25.441,-1.167,3.702
revenue,Total,Total,2007-03-01,True,False,2009,3,2809.777,2104.989,14467.300,-168.770,2641.007,536.018,25.464,-1.167,3.705
revenue,Total,Total,2008-01-01,False,True,2010,3,2907.028,2162.706,14884.400,-208.448,2698.580,535.874,24.778,-1.400,3.600
revenue,Total,Total,2008-03-01,True,False,2010,3,2916.435,2162.706,14884.400,-220.106,2696.329,533.623,24.674,-1.479,3.585
revenue,Total,Total,2009-01-01,False,True,2011,3,2824.959,2303.466,15466.525,-404.683,2420.276,116.810,5.071,-2.617,0.755
revenue,Total,Total,2009-03-01,True,False,2011,3,2783.495,2303.466,15466.525,-403.843,2379.652,76.186,3.307,-2.611,0.493
revenue,Total,Total,2010-01-01,False,True,2012,3,2963.608,2449.990,16109.425,-419.809,2543.799,93.809,3.829,-2.606,0.582
revenue,Total,Total,2010-03-01,True,False,2012,3,2966.891,2449.990,16109.425,-419.556,2547.335,97.345,3.973,-2.604,0.604
revenue,Total,Total,2011-01-01,False,True,2013,3,3090.059,2775.106,16687.775,-312.673,2777.386,2.280,0.082,-1.874,0.014
revenue,Total,Total,2011-03-01,True,False,2013,3,3087.303,2775.106,16687.775,-312.673,2774.630,-0.476,-0.017,-1.874,-0.003
revenue,Total,Total,2012-01-01,False,True,2014,3,3313.131,3021.491,17428.100,-335.106,2978.025,-43.466,-1.439,-1.923,-0.249
revenue,Total,Total,2012-03-01,True,False,2014,3,3282.611,3021.491,17428.100,-293.487,2989.124,-32.367,-1.071,-1.684,-0.186
revenue,Total,Total,2013-02-01,False,True,2015,3,3372.984,3249.890,18164.250,-79.458,3293.526,43.636,1.343,-0.437,0.240
revenue,Total,Total,2013-05-01,True,False,2015,3,3398.553,3249.890,18164.250,-79.458,3319.095,69.205,2.129,-0.437,0.381
