component,category,subcategory,projected_year_number,projection_year_range,number_of_projections,average_error,average_absolute_error,RMSE,two_thirds_spread
revenue,Total,Total,1,1982-2023,42,-0.4,2.8,4.1,6.6
revenue,Total,Total,2,1983-2023,41,0.3,5.7,8.0,12.4
revenue,Total,Total,3,1984-2023,40,1.1,7.4,9.7,17.8
revenue,Total,Total,4,1985-2023,39,2.2,8.8,10.7,22.8
revenue,Total,Total,5,1986-2023,38,3.1,9.6,11.4,22.3
revenue,Total,Total,6,1987-2023,37,3.9,9.9,11.6,22.2
revenue,Total,Total,7,1998-2023,26,1.8,10.3,12.1,27.2
revenue,Total,Total,8,1999-2023,25,2.6,11.4,13.2,24.7
revenue,Total,Total,9,2000-2023,24,3.6,12.7,14.8,28.8
revenue,Total,Total,10,2001-2023,23,4.7,13.2,15.3,30.2
revenue,Total,Total,11,2002-2023,22,5.7,13.7,15.7,30.6
revenue,Individual Income Taxes,Individual Income Taxes,1,1982-2023,42,-0.9,4.7,6.6,10.3
revenue,Individual Income Taxes,Individual Income Taxes,2,1983-2023,41,-0.6,8.4,11.3,17.5
revenue,Individual Income Taxes,Individual Income Taxes,3,1984-2023,40,0.3,10.3,13.7,21.5
revenue,Individual Income Taxes,Individual Income Taxes,4,1985-2023,39,1.5,11.5,14.8,32.8
revenue,Individual Income Taxes,Individual Income Taxes,5,1986-2023,38,2.5,12.7,15.7,31.6
revenue,Individual Income Taxes,Individual Income Taxes,6,1987-2023,37,3.3,12.8,15.5,33.9
revenue,Individual Income Taxes,Individual Income Taxes,7,1998-2023,26,0.9,14.6,17.1,37.6
revenue,Individual Income Taxes,Individual Income Taxes,8,1999-2023,25,1.6,16.2,18.7,34.2
revenue,Individual Income Taxes,Individual Income Taxes,9,2000-2023,24,2.6,18.4,20.7,37.4
revenue,Individual Income Taxes,Individual Income Taxes,10,2001-2023,23,3.5,19.1,21.5,41.7
revenue,Individual Income Taxes,Individual Income Taxes,11,2002-2023,22,4.3,19.7,21.2,42.5
revenue,Payroll Taxes,Payroll Taxes,1,1982-2023,42,0.2,1.2,1.4,2.8
revenue,Payroll Taxes,Payroll Taxes,2,1983-2023,41,1.0,2.6,3.5,6.4
revenue,Payroll Taxes,Payroll Taxes,3,1984-2023,40,1.7,3.8,5.1,9.0
revenue,Payroll Taxes,Payroll Taxes,4,1985-2023,39,2.9,5.1,6.6,10.5
revenue,Payroll Taxes,Payroll Taxes,5,1986-2023,38,4.1,6.4,8.0,13.2
revenue,Payroll Taxes,Payroll Taxes,6,1987-2023,37,5.3,7.5,9.2,13.1
revenue,Payroll Taxes,Payroll Taxes,7,1998-2023,26,4.8,8.2,10.0,18.9
revenue,Payroll Taxes,Payroll Taxes,8,1999-2023,25,5.7,9.1,11.0,18.9
revenue,Payroll Taxes,Payroll Taxes,9,2000-2023,24,7.0,10.0,12.3,21.6
revenue,Payroll Taxes,Payroll Taxes,10,2001-2023,23,8.4,10.8,13.3,21.6
